 ,PlayerID,Handedness,Tutorial,Phase,trialNumber,butterfly,pathNumber,flipX,flipY,click,clickX,clickY,clickDeg,clickDist,clickLeftRight,clickFrontBack,clickRGB_R,clickRGB_G,clickRGB_B,clickTime,clickFrame,clickHit,butterflyX,butterflyY,butterflyDeg,stimuliDuration,displayRate,Date,Time,imgJ_click_hitbox_R_ctr,imgJ_click_hitbox_G_ctr ,imgJ_click_hitbox_B_ctr,imgJ_click_hitbox_R_rMean_30 ,imgJ_click_hitbox_G_rMean_30,imgJ_click_hitbox_B_rMean_30,imgJ_click_hitbox_R_rMode_30 ,imgJ_click_hitbox_G_rMode_30,imgJ_click_hitbox_B_rMode_30,imgJ_click_hitbox_R_rMean_10 ,imgJ_click_hitbox_G_rMean_10,imgJ_click_hitbox_B_rMean_10,imgJ_click_hitbox_R_rMode_10 ,imgJ_click_hitbox_G_rMode_10,imgJ_click_hitbox_B_rMode_10,imgJ_click_hitbox_30_Forewing ,imgJ_click_hitbox_30_Hindwing ,imgJ_click_hitbox_30_Body,imgJ_click_hitbox_30_Tail ,imgJ_click_hitbox_10_Forewing ,imgJ_click_hitbox_10_Hindwing ,imgJ_click_hitbox_10_Body,imgJ_click_hitbox_10_Tail ,imgJ_click_img_L_ctr,imgJ_click_img_L_rMean_30,imgJ_click_img_L_rMode_30,imgJ_click_img_A_rMean_30,imgJ_click_img_A_rMode_30,imgJ_click_img_B_rMean_30,imgJ_click_img_B_rMode_30,imgJ_click_img_L_rMean_10,imgJ_click_img_L_rMode_10,imgJ_click_img_A_rMean_10,imgJ_click_img_A_rMode_10,imgJ_click_img_B_rMean_10,imgJ_click_img_B_rMode_10
1,P068,right,1,1,1,Lycaena_tityrus__Female,2,0,1,1,634,198,-103.610,98.024,""Left"",""Back"",0,0,0,0.965,109,0,645.939,295.294,-353.386,0.967,229.497,2026-02-04,15:47:18,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.187,47.239,0.075,0.005,0.060,-0.001,47.240,47.240,0.007,0.007,-0.003,-0.003
2,P068,right,1,1,2,Gonepteryx_cleobule__Male,8,1,0,1,1358,817,147.347,24.895,""Right"",""Back"",255,221,87,0.888,101,1,1341.693,835.811,-196.426,0.891,230.002,2026-02-04,15:47:24,255.000,255.000,86.667,170.672,140.066,74.776,255,255,0,222.308,126.583,110.064,255,255,255,1,1,1,0,1,1,1,0,57.927,63.415,47.278,-4.765,-0.213,35.030,0.415,59.745,58.979,-6.335,-5.514,28.299,20.229
3,P068,right,1,1,3,Papilio_alexanor__Female,4,1,1,1,1020,426,148.623,102.200,""Right"",""Back"",255,100,22,1.201,137,1,986.130,522.425,-219.269,1.207,230.409,2026-02-04,15:47:30,0.000,0.000,0.000,67.180,55.707,12.206,0,0,0,16.346,8.077,2.212,0,0,0,0,1,0,1,0,0,0,1,48.414,49.037,47.217,-0.941,0.013,4.138,0.016,48.839,47.199,-0.932,-0.194,3.451,0.573
4,P068,right,1,2,1,Pyrgus_sidae__Male,10,0,1,1,760,230,146.182,52.401,""Right"",""Back"",255,255,75,0.921,141,1,803.738,201.141,-359.600,0.925,231.415,2026-02-04,15:47:37,255.000,255.000,80.111,152.112,113.500,73.557,255,255,0,255.000,255.000,81.000,255,255,79,0,1,1,0,0,1,0,0,53.140,51.317,47.212,-1.746,-0.002,2.948,0.016,53.950,52.931,-2.345,-2.112,4.711,4.572
5,P068,right,1,2,2,Gonepteryx_cleobule__Male,4,1,0,1,1276,563,121.336,150.565,""Right"",""Back"",0,0,0,0.663,103,0,1140.778,629.218,-147.427,0.667,235.375,2026-02-04,15:47:43,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
6,P068,right,1,2,3,Papilio_alexanor__Female,1,0,1,1,737,594,174.300,43.561,""Right"",""Back"",255,255,38,0.743,115,1,777.790,609.289,-333.753,0.747,235.600,2026-02-04,15:47:47,255.000,255.000,38.333,74.846,69.199,13.680,0,0,0,150.385,150.282,23.795,255,255,0,1,1,1,0,0,1,0,0,54.306,51.863,48.747,-1.728,-0.976,7.184,2.190,52.626,48.356,-1.520,-0.602,8.520,1.600
7,P068,right,1,3,1,Gonepteryx_cleobule__Male,2,1,1,1,1147,235,74.091,72.458,""Right"",""Front"",255,200,43,0.618,141,1,1130.270,305.500,-150.742,0.623,229.512,2026-02-04,15:47:53,113.333,88.889,14.667,78.074,61.170,11.610,0,0,0,117.692,92.308,16.186,0,0,0,1,0,0,0,1,0,0,0,58.242,55.178,47.257,5.066,0.010,19.900,0.108,57.431,47.282,6.943,0.036,24.855,0.103
8,P068,right,1,3,2,Lycaena_tityrus__Female,10,0,1,1,865,243,137.568,35.726,""Right"",""Back"",255,255,110,0.701,162,1,893.732,221.768,-354.030,0.705,232.551,2026-02-04,15:47:57,255.000,255.000,93.333,184.794,132.827,85.878,255,255,0,238.654,223.032,88.865,255,255,0,1,1,1,0,1,1,1,0,39.938,41.216,39.491,1.112,-0.197,3.676,3.126,40.238,39.518,-0.186,-0.213,3.037,3.151
9,P068,right,0,4,1,Lycaena_tityrus__Female,2,1,0,1,1016,728,148.633,158.842,""Right"",""Back"",0,0,0,0.846,192,0,882.590,814.211,-181.504,0.850,228.297,2026-02-04,15:48:29,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
10,P068,right,0,4,2,Brintesia_circe__Male,3,0,0,1,889,548,-142.057,73.754,""Left"",""Back"",255,238,53,0.636,142,1,959.434,569.878,-20.687,0.640,225.008,2026-02-04,15:48:35,0.000,0.000,0.000,17.753,17.674,4.214,0,0,0,0.000,0.000,0.000,0,0,0,0,1,0,0,0,0,0,0,47.240,47.410,47.228,0.081,0.004,1.117,0.033,47.223,47.239,-0.059,0.007,0.198,-0.002
