 ,PlayerID,Handedness,Tutorial,Phase,trialNumber,butterfly,pathNumber,flipX,flipY,click,clickX,clickY,clickDeg,clickDist,clickLeftRight,clickFrontBack,clickRGB_R,clickRGB_G,clickRGB_B,clickTime,clickFrame,clickHit,butterflyX,butterflyY,butterflyDeg,stimuliDuration,displayRate,Date,Time,imgJ_click_hitbox_R_ctr,imgJ_click_hitbox_G_ctr ,imgJ_click_hitbox_B_ctr,imgJ_click_hitbox_R_rMean_30 ,imgJ_click_hitbox_G_rMean_30,imgJ_click_hitbox_B_rMean_30,imgJ_click_hitbox_R_rMode_30 ,imgJ_click_hitbox_G_rMode_30,imgJ_click_hitbox_B_rMode_30,imgJ_click_hitbox_R_rMean_10 ,imgJ_click_hitbox_G_rMean_10,imgJ_click_hitbox_B_rMean_10,imgJ_click_hitbox_R_rMode_10 ,imgJ_click_hitbox_G_rMode_10,imgJ_click_hitbox_B_rMode_10,imgJ_click_hitbox_30_Forewing ,imgJ_click_hitbox_30_Hindwing ,imgJ_click_hitbox_30_Body,imgJ_click_hitbox_30_Tail ,imgJ_click_hitbox_10_Forewing ,imgJ_click_hitbox_10_Hindwing ,imgJ_click_hitbox_10_Body,imgJ_click_hitbox_10_Tail ,imgJ_click_img_L_ctr,imgJ_click_img_L_rMean_30,imgJ_click_img_L_rMode_30,imgJ_click_img_A_rMean_30,imgJ_click_img_A_rMode_30,imgJ_click_img_B_rMean_30,imgJ_click_img_B_rMode_30,imgJ_click_img_L_rMean_10,imgJ_click_img_L_rMode_10,imgJ_click_img_A_rMean_10,imgJ_click_img_A_rMode_10,imgJ_click_img_B_rMean_10,imgJ_click_img_B_rMode_10
1,P017,left,1,1,1,Brintesia_circe__Male,5,1,0,1,1116,724,124.865,94.248,""Right"",""Back"",255,255,41,0.860,103,1,1022.893,709.380,-115.942,0.863,242.076,2026-01-23,14:11:42,255,255,52.000,123.465,118.725,32.679,0,0,0,199.423,199.314,43.365,255,255,0,1,1,0,0,0,1,0,0,44.254,49.007,47.268,0.218,0.010,2.856,0.017,45.386,45.007,0.496,0.394,4.165,3.350
2,P017,left,1,1,2,Lycaena_tityrus__Female,8,1,0,1,1387,802,161.763,40.752,""Right"",""Back"",255,114,80,0.814,98,1,1353.466,825.156,-196.389,0.818,243.225,2026-01-23,14:11:46,0,0,0.000,164.620,138.496,75.372,255,255,0,80.096,25.769,49.071,0,0,0,1,1,1,0,1,1,1,0,46.643,43.312,46.824,0.058,-0.203,2.133,0.008,46.424,46.847,-0.110,-0.197,0.770,0.553
3,P017,left,1,2,1,Lycaena_tityrus__Female,9,1,1,1,1457,387,-121.442,53.308,""Left"",""Back"",255,255,82,0.534,78,1,1441.428,336.017,-165.542,0.538,223.085,2026-01-23,14:11:52,255,255,76.667,201.539,188.586,57.378,255,255,0,255.000,255.000,76.263,255,255,77,1,1,0,0,0,1,0,0,35.511,42.458,34.534,4.976,-0.027,7.135,4.509,36.329,33.694,1.283,-0.421,5.224,3.797
4,P017,left,1,2,2,Brintesia_circe__Male,10,0,1,1,537,337,117.753,122.759,""Right"",""Back"",0,0,0,0.567,87,0,577.573,221.140,-8.453,0.571,232.756,2026-01-23,14:11:56,0,0,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.212,47.239,0.016,0.007,0.023,-0.002,47.240,47.240,0.007,0.007,-0.003,-0.003
5,P017,left,1,2,3,Papilio_alexanor__Female,5,1,1,1,1322,202,-176.405,141.287,""Left"",""Back"",255,100,9,0.451,67,1,1189.331,250.591,-203.711,0.454,228.946,2026-01-23,14:11:59,0,0,0.000,1.210,0.475,0.032,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,1,0,0,0,0,47.240,47.241,47.240,0.006,0.006,-8.163E-4,-0.002,47.240,47.240,0.007,0.007,-0.003,-0.003
6,P017,left,1,3,1,Lycaena_tityrus__Female,4,1,0,1,1252,581,149.139,203.954,""Right"",""Back"",0,0,0,0.498,121,0,1048.714,597.491,-153.777,0.502,245.075,2026-01-23,14:12:05,0,0,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
7,P017,left,1,3,2,Gonepteryx_cleobule__Male,5,1,0,1,1072,728,161.336,111.110,""Right"",""Back"",0,0,0,0.473,115,0,982.611,662.007,-124.899,0.477,245.382,2026-01-23,14:12:08,0,0,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.238,47.240,-0.004,0.006,0.025,-0.002,47.240,47.240,0.007,0.007,-0.003,-0.003
8,P017,left,1,3,3,Pyrgus_sidae__Male,1,1,0,1,1142,522,-146.012,73.960,""Left"",""Back"",255,236,43,0.514,125,1,1088.100,471.356,-170.772,0.519,244.768,2026-01-23,14:12:12,0,0,0.000,18.964,18.334,3.275,0,0,0,0.000,0.000,0.000,0,0,0,1,1,0,0,0,0,0,0,47.240,49.754,47.268,-0.497,0.001,1.059,0.009,48.639,47.256,-0.079,0.006,0.171,-0.001
9,P017,left,1,3,4,Brintesia_circe__Male,8,0,0,1,664,589,-84.790,261.728,""Left"",""Front"",0,0,0,0.414,99,0,570.053,833.286,15.826,0.416,242.575,2026-01-23,14:12:15,0,0,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
10,P017,left,1,3,5,Papilio_alexanor__Female,7,0,1,1,645,280,120.661,128.094,""Right"",""Back"",255,100,9,0.460,111,1,713.012,171.453,-358.591,0.464,243.395,2026-01-23,14:12:19,0,0,0.000,8.473,3.323,0.551,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,1,0,0,0,0,47.240,47.320,47.243,-0.046,0.010,0.177,0.004,47.219,47.239,0.007,0.007,-0.003,-0.003
11,P017,left,0,4,1,Brintesia_circe__Male,3,0,1,1,539,273,-168.750,225.856,""Left"",""Back"",0,0,0,0.393,89,0,705.658,425.434,-328.802,0.398,228.805,2026-01-23,14:12:50,0,0,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
