 ,PlayerID,Handedness,Tutorial,Phase,trialNumber,butterfly,pathNumber,flipX,flipY,click,clickX,clickY,clickDeg,clickDist,clickLeftRight,clickFrontBack,clickRGB_R,clickRGB_G,clickRGB_B,clickTime,clickFrame,clickHit,butterflyX,butterflyY,butterflyDeg,stimuliDuration,displayRate,Date,Time,imgJ_click_hitbox_R_ctr,imgJ_click_hitbox_G_ctr ,imgJ_click_hitbox_B_ctr,imgJ_click_hitbox_R_rMean_30 ,imgJ_click_hitbox_G_rMean_30,imgJ_click_hitbox_B_rMean_30,imgJ_click_hitbox_R_rMode_30 ,imgJ_click_hitbox_G_rMode_30,imgJ_click_hitbox_B_rMode_30,imgJ_click_hitbox_R_rMean_10 ,imgJ_click_hitbox_G_rMean_10,imgJ_click_hitbox_B_rMean_10,imgJ_click_hitbox_R_rMode_10 ,imgJ_click_hitbox_G_rMode_10,imgJ_click_hitbox_B_rMode_10,imgJ_click_hitbox_30_Forewing ,imgJ_click_hitbox_30_Hindwing ,imgJ_click_hitbox_30_Body,imgJ_click_hitbox_30_Tail ,imgJ_click_hitbox_10_Forewing ,imgJ_click_hitbox_10_Hindwing ,imgJ_click_hitbox_10_Body,imgJ_click_hitbox_10_Tail ,imgJ_click_img_L_ctr,imgJ_click_img_L_rMean_30,imgJ_click_img_L_rMode_30,imgJ_click_img_A_rMean_30,imgJ_click_img_A_rMode_30,imgJ_click_img_B_rMean_30,imgJ_click_img_B_rMode_30,imgJ_click_img_L_rMean_10,imgJ_click_img_L_rMode_10,imgJ_click_img_A_rMean_10,imgJ_click_img_A_rMode_10,imgJ_click_img_B_rMean_10,imgJ_click_img_B_rMode_10
1,P013,right,1,1,1,Brintesia_circe__Male,2,1,0,1,1112,707,152.336,105.451,""Right"",""Back"",0,0,0,1.314,157,0,1064.855,801.325,-215.779,1.318,241.341,2026-01-23,12:35:56,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
2,P013,right,1,1,2,Papilio_alexanor__Female,9,1,0,1,1479,660,156.671,149.866,""Right"",""Back"",0,0,0,0.784,94,0,1388.870,779.734,-209.700,0.788,242.511,2026-01-23,12:36:01,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,46.838,47.187,47.239,-0.032,0.006,0.097,-0.004,47.108,47.239,-0.028,0.006,0.093,-0.002
3,P013,right,1,1,3,Pyrgus_sidae__Male,4,1,1,1,1258,448,-150.963,80.880,""Left"",""Back"",255,255,77,0.801,96,1,1177.131,446.680,-208.102,0.805,242.242,2026-01-23,12:36:08,255.000,255.000,87.667,193.469,193.070,71.373,255,255,0,255.000,255.000,87.340,255,255,84,0,1,1,0,0,1,0,0,55.036,53.534,47.252,-1.927,-0.001,3.990,0.013,55.968,56.579,-2.490,-2.272,5.299,5.751
4,P013,right,1,1,4,Lycaena_tityrus__Female,3,0,1,1,510,340,-159.961,38.728,""Left"",""Back"",255,234,29,0.478,57,1,533.375,370.878,-327.166,0.482,244.953,2026-01-23,12:36:14,170.000,170.000,16.667,53.058,52.086,6.153,0,0,0,130.769,130.635,12.603,255,255,0,0,1,1,0,0,1,0,0,48.621,46.531,47.227,0.833,0.008,1.564,0.007,47.816,47.230,1.751,6.375E-4,2.282,0.006
5,P013,right,1,2,1,Papilio_alexanor__Female,5,0,1,1,637,296,131.577,114.818,""Right"",""Back"",0,0,0,0.476,69,0,743.816,253.885,-333.095,0.480,222.973,2026-01-23,12:36:20,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.211,47.409,47.242,-0.196,0.009,0.635,0.004,47.314,47.211,-0.175,-0.196,0.586,0.551
6,P013,right,1,2,2,Brintesia_circe__Male,2,0,1,1,594,238,-12.830,41.470,""Left"",""Front"",255,200,90,0.578,85,1,552.697,234.279,-342.022,0.582,225.248,2026-01-23,12:36:23,0.000,0.000,0.000,136.377,102.112,51.388,255,200,0,70.288,54.609,22.750,0,0,0,1,0,1,0,1,0,0,0,40.971,44.290,47.231,0.942,0.185,6.675,0.024,41.823,43.379,0.907,0.404,6.006,7.466
7,P013,right,1,2,3,Pyrgus_sidae__Male,10,1,0,1,1417,759,133.563,122.114,""Right"",""Back"",0,0,0,0.576,87,0,1340.004,853.780,-184.474,0.580,231.199,2026-01-23,12:36:27,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.230,47.239,-0.001,0.006,0.015,-0.002,47.240,47.240,0.007,0.007,-0.003,-0.003
8,P013,right,1,2,4,Lycaena_tityrus__Female,9,0,0,1,383,633,-139.989,135.919,""Left"",""Back"",0,0,0,0.501,75,0,466.608,740.163,12.028,0.506,229.316,2026-01-23,12:36:32,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
9,P013,right,1,2,5,Gonepteryx_cleobule__Male,4,1,1,1,1370,535,-117.735,163.174,""Left"",""Back"",0,0,0,0.545,83,0,1249.907,424.530,-199.655,0.548,233.545,2026-01-23,12:36:35,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
10,P013,right,1,2,6,Brintesia_circe__Male,1,1,0,1,1288,564,-165.409,44.202,""Left"",""Back"",255,200,62,0.608,90,1,1266.040,525.639,-134.380,0.612,225.386,2026-01-23,12:36:39,0.000,0.000,0.000,143.841,117.639,51.498,255,255,0,93.173,21.244,53.090,0,0,0,0,1,1,0,0,1,1,0,47.852,50.358,47.185,0.600,-0.193,7.995,0.588,48.530,47.755,0.312,0.180,5.031,0.677
