 ,PlayerID,Handedness,Tutorial,Phase,trialNumber,butterfly,pathNumber,flipX,flipY,click,clickX,clickY,clickDeg,clickDist,clickLeftRight,clickFrontBack,clickRGB_R,clickRGB_G,clickRGB_B,clickTime,clickFrame,clickHit,butterflyX,butterflyY,butterflyDeg,stimuliDuration,displayRate,Date,Time,imgJ_click_hitbox_R_ctr,imgJ_click_hitbox_G_ctr ,imgJ_click_hitbox_B_ctr,imgJ_click_hitbox_R_rMean_30 ,imgJ_click_hitbox_G_rMean_30,imgJ_click_hitbox_B_rMean_30,imgJ_click_hitbox_R_rMode_30 ,imgJ_click_hitbox_G_rMode_30,imgJ_click_hitbox_B_rMode_30,imgJ_click_hitbox_R_rMean_10 ,imgJ_click_hitbox_G_rMean_10,imgJ_click_hitbox_B_rMean_10,imgJ_click_hitbox_R_rMode_10 ,imgJ_click_hitbox_G_rMode_10,imgJ_click_hitbox_B_rMode_10,imgJ_click_hitbox_30_Forewing ,imgJ_click_hitbox_30_Hindwing ,imgJ_click_hitbox_30_Body,imgJ_click_hitbox_30_Tail ,imgJ_click_hitbox_10_Forewing ,imgJ_click_hitbox_10_Hindwing ,imgJ_click_hitbox_10_Body,imgJ_click_hitbox_10_Tail ,imgJ_click_img_L_ctr,imgJ_click_img_L_rMean_30,imgJ_click_img_L_rMode_30,imgJ_click_img_A_rMean_30,imgJ_click_img_A_rMode_30,imgJ_click_img_B_rMean_30,imgJ_click_img_B_rMode_30,imgJ_click_img_L_rMean_10,imgJ_click_img_L_rMode_10,imgJ_click_img_A_rMean_10,imgJ_click_img_A_rMode_10,imgJ_click_img_B_rMean_10,imgJ_click_img_B_rMode_10
1,P078,left,1,1,1,Brintesia_circe__Male,2,0,0,1,581,850,13.378,40.037,""Right"",""Front"",255,200,78,0.729,82,1,541.025,852.227,-16.566,0.733,227.908,2026-02-05,12:48:33,0,0,0.000,76.258,52.009,31.014,0,0,0,0.000,0.000,0.000,0,0,0,1,0,1,0,0,0,0,0,42.775,43.393,46.478,0.733,0.382,5.384,1.933,43.018,43.367,0.552,0.384,4.434,3.946
2,P078,left,1,1,2,Pyrgus_sidae__Male,10,0,1,1,410,299,148.613,71.077,""Right"",""Back"",255,255,85,0.542,61,1,467.577,257.325,-4.511,0.546,228.929,2026-02-05,12:48:38,255,255,80.000,171.681,169.570,60.419,255,255,0,255.000,255.000,79.583,255,255,78,1,1,0,0,0,1,0,0,54.272,52.798,47.255,-1.794,-0.001,3.741,0.012,53.738,53.115,-2.275,-2.487,4.827,3.077
3,P078,left,1,2,1,Brintesia_circe__Male,10,1,1,1,1471,280,-163.665,96.997,""Left"",""Back"",255,255,39,0.528,77,1,1384.323,236.463,-169.665,0.533,223.296,2026-02-05,12:48:44,0,0,0.000,32.884,32.804,6.831,0,0,0,0.000,0.000,0.000,0,0,0,0,1,0,0,0,0,0,0,47.240,47.380,47.251,0.075,0.010,0.768,0.016,47.240,47.240,0.007,0.007,-0.003,-0.003
4,P078,left,1,2,2,Pyrgus_sidae__Male,5,0,1,1,771,253,161.441,82.222,""Right"",""Back"",255,255,33,0.585,87,1,832.860,307.165,-300.235,0.589,227.619,2026-02-05,12:48:48,0,0,0.000,80.293,79.636,15.315,0,0,0,80.096,79.500,12.609,0,0,0,1,1,0,0,0,1,0,0,51.750,51.047,47.249,-0.851,-0.198,1.769,0.545,50.574,48.385,-0.770,-0.398,1.666,1.097
5,P078,left,1,3,1,Gonepteryx_cleobule__Male,9,1,1,1,1496,363,-177.609,113.057,""Left"",""Back"",0,0,0,0.406,91,0,1397.388,307.704,-153.110,0.411,226.194,2026-02-05,12:48:54,0,0,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.271,47.242,-0.082,0.005,0.271,0.007,47.231,47.240,-0.053,0.006,0.160,-0.002
6,P078,left,1,3,2,Papilio_alexanor__Female,6,1,0,1,1063,598,114.847,174.011,""Right"",""Back"",0,0,0,0.505,116,0,935.326,716.234,-157.648,0.509,231.891,2026-02-05,12:48:58,0,0,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
7,P078,left,1,3,3,Pyrgus_sidae__Male,8,0,0,1,644,868,22.297,16.767,""Right"",""Front"",255,200,68,0.521,115,1,631.995,856.294,21.980,0.525,222.719,2026-02-05,12:49:03,255,200,77.333,152.718,89.526,83.105,255,0,0,156.923,123.077,53.212,255,200,0,1,1,1,0,1,0,0,0,48.318,48.167,47.222,-1.345,-8.215E-4,1.620,-7.051E-5,48.972,47.248,-0.847,0.002,1.306,0.003
8,P078,left,1,3,4,Lycaena_tityrus__Female,7,0,0,1,792,797,-99.792,124.643,""Left"",""Back"",0,0,0,0.592,135,0,810.765,920.223,1.133,0.597,229.447,2026-02-05,12:49:06,0,0,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.095,47.239,0.324,0.006,0.388,0.005,47.239,47.240,0.015,0.007,0.012,-0.002
9,P078,left,1,3,5,Lycaena_tityrus__Female,2,0,0,1,764,850,58.680,75.772,""Right"",""Front"",255,200,64,0.594,132,1,748.324,775.867,19.380,0.598,224.153,2026-02-05,12:49:10,0,0,0.000,77.065,60.378,23.445,0,0,0,6.538,5.128,1.564,0,0,0,1,0,0,0,1,0,0,0,45.392,45.653,47.229,4.627,-0.020,5.601,0.035,45.756,45.270,4.217,3.400,5.328,4.359
10,P078,left,0,4,1,Gonepteryx_cleobule__Male,10,1,0,1,1192,716,78.444,161.531,""Right"",""Front"",0,0,0,0.506,116,0,1221.956,874.729,-179.131,0.510,231.533,2026-02-05,12:49:21,0,0,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
