 ,PlayerID,Handedness,Tutorial,Phase,trialNumber,butterfly,pathNumber,flipX,flipY,click,clickX,clickY,clickDeg,clickDist,clickLeftRight,clickFrontBack,clickRGB_R,clickRGB_G,clickRGB_B,clickTime,clickFrame,clickHit,butterflyX,butterflyY,butterflyDeg,stimuliDuration,displayRate,Date,Time,imgJ_click_hitbox_R_ctr,imgJ_click_hitbox_G_ctr ,imgJ_click_hitbox_B_ctr,imgJ_click_hitbox_R_rMean_30 ,imgJ_click_hitbox_G_rMean_30,imgJ_click_hitbox_B_rMean_30,imgJ_click_hitbox_R_rMode_30 ,imgJ_click_hitbox_G_rMode_30,imgJ_click_hitbox_B_rMode_30,imgJ_click_hitbox_R_rMean_10 ,imgJ_click_hitbox_G_rMean_10,imgJ_click_hitbox_B_rMean_10,imgJ_click_hitbox_R_rMode_10 ,imgJ_click_hitbox_G_rMode_10,imgJ_click_hitbox_B_rMode_10,imgJ_click_hitbox_30_Forewing ,imgJ_click_hitbox_30_Hindwing ,imgJ_click_hitbox_30_Body,imgJ_click_hitbox_30_Tail ,imgJ_click_hitbox_10_Forewing ,imgJ_click_hitbox_10_Hindwing ,imgJ_click_hitbox_10_Body,imgJ_click_hitbox_10_Tail ,imgJ_click_img_L_ctr,imgJ_click_img_L_rMean_30,imgJ_click_img_L_rMode_30,imgJ_click_img_A_rMean_30,imgJ_click_img_A_rMode_30,imgJ_click_img_B_rMean_30,imgJ_click_img_B_rMode_30,imgJ_click_img_L_rMean_10,imgJ_click_img_L_rMode_10,imgJ_click_img_A_rMean_10,imgJ_click_img_A_rMode_10,imgJ_click_img_B_rMean_10,imgJ_click_img_B_rMode_10
1,P066,right,1,1,1,Papilio_alexanor__Female,4,1,0,1,1317,589,128.069,123.030,""Right"",""Back"",255,100,14,0.750,90,1,1209.987,649.702,-157.633,0.753,242.895,2026-02-04,15:33:12,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.324,47.242,-0.127,0.010,0.418,-0.008,47.224,47.239,-0.011,0.006,0.030,-0.002
2,P066,right,1,1,2,Brintesia_circe__Male,9,1,1,1,1472,486,-117.870,150.776,""Left"",""Back"",0,0,0,0.639,77,0,1449.018,336.986,-160.897,0.643,244.344,2026-02-04,15:33:17,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
3,P066,right,1,1,3,Gonepteryx_cleobule__Male,1,1,1,1,1458,370,170.097,61.870,""Right"",""Back"",255,200,68,0.484,53,1,1430.567,425.456,-233.776,0.488,225.504,2026-02-04,15:33:21,0,0.000,0.000,20.376,18.017,5.843,0,0,0,0.000,0.000,0.000,0,0,0,0,1,1,0,0,0,0,0,49.018,50.739,47.241,-1.514,-0.191,8.490,0.487,49.391,47.575,-1.307,-0.595,5.230,1.095
4,P066,right,1,2,1,Pyrgus_sidae__Male,4,0,1,1,542,505,119.966,132.507,""Right"",""Back"",255,255,43,0.513,79,1,647.749,425.154,-337.021,0.521,232.221,2026-02-04,15:33:28,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.262,47.247,0.005,0.006,3.067E-5,-0.002,47.240,47.240,0.007,0.007,-0.003,-0.003
5,P066,right,1,2,2,Lycaena_tityrus__Female,1,0,1,1,653,484,-95.914,60.018,""Left"",""Back"",255,255,106,0.549,80,1,607.908,523.609,-305.382,0.553,222.442,2026-02-04,15:33:32,255,255.000,104.889,254.395,234.954,92.579,255,255,88,255.000,248.449,104.045,255,255,102,1,1,0,0,1,1,0,0,38.752,40.595,35.044,6.356,0.656,9.026,4.828,38.531,36.081,4.729,1.335,8.102,5.697
6,P066,right,1,3,1,Brintesia_circe__Male,6,0,0,1,792,551,-103.664,187.571,""Left"",""Back"",0,0,0,0.440,98,0,873.339,720.017,-12.035,0.445,224.678,2026-02-04,15:33:38,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
7,P066,right,1,3,2,Lycaena_tityrus__Female,4,0,0,1,698,530,-120.038,146.766,""Left"",""Back"",0,0,0,0.504,111,0,820.516,610.809,-26.554,0.508,222.397,2026-02-04,15:33:42,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
8,P066,right,1,3,3,Pyrgus_sidae__Male,9,0,1,1,607,505,108.544,216.567,""Right"",""Back"",0,0,0,0.448,100,0,560.044,293.585,-31.066,0.453,225.339,2026-02-04,15:33:46,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
9,P066,right,1,3,4,Gonepteryx_cleobule__Male,1,0,0,1,602,580,173.325,43.574,""Right"",""Back"",255,115,79,0.373,84,1,627.053,544.348,-48.229,0.377,227.883,2026-02-04,15:33:50,0,0.000,0.000,138.192,120.168,55.730,255,0,0,31.058,15.500,12.622,0,0,0,0,1,1,0,0,1,1,0,49.049,59.193,47.279,-5.013,-0.196,26.484,0.686,50.624,47.937,-2.511,-0.986,8.425,2.177
10,P066,right,1,3,5,Papilio_alexanor__Female,3,0,0,1,655,601,-127.891,106.467,""Left"",""Back"",0,0,0,0.444,99,0,755.224,636.921,-32.391,0.448,225.484,2026-02-04,15:33:54,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.239,47.240,0.005,0.006,0.002,-0.002,47.240,47.240,0.007,0.007,-0.003,-0.003
11,P066,right,1,3,6,Lycaena_tityrus__Female,2,1,1,1,1367,241,163.750,61.266,""Right"",""Back"",255,255,42,0.432,99,1,1316.041,275.010,-197.470,0.436,231.853,2026-02-04,15:33:57,0,0.000,0.000,87.152,82.327,28.976,0,0,0,39.231,39.231,9.782,0,0,0,1,1,1,0,0,1,0,0,47.230,45.440,46.856,0.543,-8.845E-4,1.584,0.007,46.867,47.244,-0.153,0.007,0.681,0.001
12,P066,right,0,4,1,Papilio_alexanor__Female,5,0,0,1,923,626,-6.586,116.264,""Left"",""Front"",0,0,0,0.427,97,0,880.584,734.251,-62.017,0.433,228.522,2026-02-04,15:34:04,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
13,P066,right,0,4,2,Lycaena_tityrus__Female,1,1,0,1,1047,419,122.568,77.199,""Right"",""Back"",255,255,53,0.631,140,1,1004.311,483.322,-178.997,0.633,224.170,2026-02-04,15:34:08,0,0.000,0.000,5.245,5.212,1.089,0,0,0,0.000,0.000,0.000,0,0,0,0,1,0,0,0,0,0,0,46.895,46.873,46.928,0.404,0.392,0.443,0.127,46.958,46.923,0.165,0.390,0.133,0.132
14,P066,right,0,4,3,Gonepteryx_cleobule__Male,2,0,1,1,702,205,-29.313,152.199,""Left"",""Front"",0,0,0,0.374,85,0,552.635,234.229,-341.759,0.377,230.466,2026-02-04,15:34:12,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
15,P066,right,0,4,4,Pyrgus_sidae__Male,6,1,1,1,969,365,-158.645,100.941,""Left"",""Back"",255,255,54,0.553,127,1,868.248,371.175,-204.862,0.558,230.987,2026-02-04,15:34:16,0,0.000,0.000,33.892,33.837,7.550,0,0,0,0.000,0.000,0.000,0,0,0,0,1,0,0,0,0,0,0,47.240,48.880,47.261,-0.205,0.002,0.436,0.006,47.697,47.244,-0.052,0.006,0.112,-0.002
16,P066,right,0,4,5,Brintesia_circe__Male,9,0,0,1,972,834,138.396,173.116,""Right"",""Back"",0,0,0,0.963,214,0,1091.952,709.178,-4.536,0.967,223.426,2026-02-04,15:34:20,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
