butterfly,path,hitbox_image,frame,hitbox_x,hitbox_y,hitbox_w,hitbox_h,hitbox_r,hitbox_area,body_area,forewing_area,hindwing_area,tail_area
Gonepteryx_cleobule__Male,06,0070.png,70,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0071.png,71,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0072.png,72,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0073.png,73,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0074.png,74,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0075.png,75,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0076.png,76,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0077.png,77,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0078.png,78,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0079.png,79,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0080.png,80,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0081.png,81,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0082.png,82,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0083.png,83,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0084.png,84,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0085.png,85,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0086.png,86,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0087.png,87,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0088.png,88,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0089.png,89,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0090.png,90,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0091.png,91,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0092.png,92,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0093.png,93,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0094.png,94,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0095.png,95,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0096.png,96,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0097.png,97,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0098.png,98,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0099.png,99,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0100.png,100,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0101.png,101,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0102.png,102,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0103.png,103,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0104.png,104,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0105.png,105,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0106.png,106,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0107.png,107,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0108.png,108,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0109.png,109,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0110.png,110,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0111.png,111,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0112.png,112,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0113.png,113,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0114.png,114,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0115.png,115,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0116.png,116,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0117.png,117,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0118.png,118,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0119.png,119,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0120.png,120,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0121.png,121,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0122.png,122,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0123.png,123,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0124.png,124,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0125.png,125,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0126.png,126,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0127.png,127,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0128.png,128,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0129.png,129,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0130.png,130,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0131.png,131,0,0,0,0,0,0,0,0,0,0
