ID,Pattern,Background,MeanV,Frame,Left,Right,Up,Down
T01_AcM_21April,Black,Mean,0,88,0.0311,0.037,0.0642,0.0045
T01_AcM_21April,Black,Mean,0,89,0.0279,0.0349,0.0691,0.0024
T01_AcM_21April,Black,Mean,0,90,0.0249,0.0325,0.0734,0.0009
T01_AcM_21April,Black,Mean,0,91,0.0228,0.0308,0.0768,0.0002
T01_AcM_21April,Black,Mean,0,92,0.0232,0.0313,0.0784,0.0001
T01_AcM_21April,Black,Mean,0,93,0.026,0.0339,0.0782,0.0006
T01_AcM_21April,Black,Mean,0,94,0.0302,0.038,0.0767,0.0021
T01_AcM_21April,Black,Mean,0,95,0.0346,0.0423,0.0744,0.0045
T01_AcM_21April,Black,Mean,0,96,0.0383,0.0458,0.0715,0.0072
T01_AcM_21April,Black,Mean,0,97,0.0411,0.0482,0.068,0.0095
T01_AcM_21April,Black,Mean,0,98,0.0431,0.0497,0.0639,0.0106
T01_AcM_21April,Black,Mean,0,99,0.0447,0.0504,0.0593,0.0103
T01_AcM_21April,Black,Mean,0,100,0.0462,0.0505,0.0548,0.009
T01_AcM_21April,Black,Mean,0,101,0.0477,0.0504,0.0509,0.0075
T01_AcM_21April,Black,Mean,0,102,0.0492,0.0502,0.0484,0.0067
T01_AcM_21April,Black,Mean,0,103,0.0507,0.0501,0.0477,0.0075
T01_AcM_21April,Black,Mean,0,104,0.052,0.0504,0.0493,0.0105
T01_AcM_21April,Black,Mean,0,105,0.053,0.0512,0.0532,0.0156
T01_AcM_21April,Black,Mean,0,106,0.0538,0.0522,0.0586,0.0216
T01_AcM_21April,Black,Mean,0,107,0.0542,0.0534,0.0646,0.0272
T01_AcM_21April,Black,Mean,0,108,0.054,0.0542,0.07,0.0311
T01_AcM_21April,Black,Mean,0,109,0.0525,0.0535,0.0736,0.0318
T01_AcM_21April,Black,Mean,0,110,0.049,0.0507,0.0746,0.0286
T01_AcM_21April,Black,Mean,0,111,0.0441,0.0458,0.0728,0.0218
T01_AcM_21April,Black,Mean,0,112,0.0388,0.0399,0.0694,0.0133
T01_AcM_21April,Black,Mean,0,113,0.0375,0.0373,0.069,0.0083
T01_AcM_21April,Black,Mean,0,114,0.0488,0.0466,0.0769,0.0127
T01_AcM_21April,Black,Mean,0,115,0.0616,0.0566,0.0857,0.0195
T01_AcM_21April,Black,Mean,0,116,0.0729,0.0648,0.0915,0.0247
T01_AcM_21April,Black,Mean,0,117,0.0822,0.0709,0.0934,0.0275
T01_AcM_21April,Black,Mean,0,118,0.0882,0.074,0.0911,0.0274
T01_AcM_21April,Black,Mean,0,119,0.0902,0.0738,0.0854,0.0249
T01_AcM_21April,Black,Mean,0,120,0.0883,0.0706,0.0773,0.0211
T01_AcM_21April,Patterned,Mean,197.3241,0,0.14,0.1221,0.1644,0.0299
T01_AcM_21April,Patterned,Mean,197.3241,1,0.1687,0.138,0.1822,0.0456
T01_AcM_21April,Patterned,Mean,197.3241,2,0.2015,0.1535,0.201,0.0679
T01_AcM_21April,Patterned,Mean,197.3241,3,0.2372,0.1676,0.2217,0.0966
T01_AcM_21April,Patterned,Mean,197.3241,4,0.2732,0.1788,0.2432,0.1292
T01_AcM_21April,Patterned,Mean,197.3241,5,0.3066,0.1864,0.2644,0.1622
T01_AcM_21April,Patterned,Mean,197.3241,6,0.335,0.1907,0.2831,0.1911
T01_AcM_21April,Patterned,Mean,197.3241,7,0.3555,0.1921,0.2979,0.2123
T01_AcM_21April,Patterned,Mean,197.3241,8,0.3661,0.1912,0.3072,0.2234
T01_AcM_21April,Patterned,Mean,197.3241,9,0.3678,0.191,0.3102,0.2232
T01_AcM_21April,Patterned,Mean,197.3241,10,0.3583,0.1888,0.305,0.2113
T01_AcM_21April,Patterned,Mean,197.3241,11,0.3363,0.1818,0.2969,0.1947
T01_AcM_21April,Patterned,Mean,197.3241,12,0.344,0.2093,0.3126,0.2025
T01_AcM_21April,Patterned,Mean,197.3241,13,0.3754,0.2616,0.3449,0.2293
T01_AcM_21April,Patterned,Mean,197.3241,14,0.3942,0.3002,0.3658,0.2483
T01_AcM_21April,Patterned,Mean,197.3241,15,0.3935,0.3168,0.3675,0.2518
T01_AcM_21April,Patterned,Mean,197.3241,16,0.3724,0.3105,0.3504,0.2395
T01_AcM_21April,Patterned,Mean,197.3241,17,0.3343,0.2858,0.3183,0.2138
T01_AcM_21April,Patterned,Mean,197.3241,18,0.2858,0.2499,0.2767,0.1793
T01_AcM_21April,Patterned,Mean,197.3241,19,0.2352,0.212,0.2319,0.1416
T01_AcM_21April,Patterned,Mean,197.3241,20,0.1894,0.1784,0.1892,0.1055
T01_AcM_21April,Patterned,Mean,197.3241,21,0.1514,0.1516,0.1521,0.0747
T01_AcM_21April,Patterned,Mean,197.3241,22,0.1214,0.1305,0.1223,0.0509
T01_AcM_21April,Patterned,Mean,197.3241,23,0.0991,0.1147,0.1001,0.0344
T01_AcM_21April,Patterned,Mean,197.3241,24,0.0846,0.1036,0.0847,0.0248
T01_AcM_21April,Patterned,Mean,197.3241,25,0.0775,0.0974,0.0756,0.0213
T01_AcM_21April,Patterned,Mean,197.3241,26,0.0771,0.0959,0.0723,0.0235
T01_AcM_21April,Patterned,Mean,197.3241,27,0.0825,0.0992,0.0747,0.031
T01_AcM_21April,Patterned,Mean,197.3241,28,0.0922,0.1065,0.0822,0.0431
T01_AcM_21April,Patterned,Mean,197.3241,29,0.1042,0.1163,0.0933,0.0581
T01_AcM_21April,Patterned,Mean,197.3241,30,0.1158,0.1263,0.1058,0.0733
T01_AcM_21April,Patterned,Mean,197.3241,31,0.124,0.1338,0.117,0.0856
T01_AcM_21April,Patterned,Mean,197.3241,32,0.1264,0.1359,0.124,0.0917
T01_AcM_21April,Patterned,Mean,197.3241,33,0.122,0.1316,0.1248,0.0898
T01_AcM_21April,Patterned,Mean,197.3241,34,0.1121,0.1218,0.1191,0.0799
T01_AcM_21April,Patterned,Mean,197.3241,35,0.0978,0.107,0.1083,0.0644
T01_AcM_21April,Patterned,Mean,197.3241,36,0.0822,0.0899,0.0974,0.0491
T01_AcM_21April,Patterned,Mean,197.3241,37,0.0752,0.0803,0.0945,0.0432
T01_AcM_21April,Patterned,Mean,197.3241,38,0.0861,0.0876,0.1061,0.0532
T01_AcM_21April,Patterned,Mean,197.3241,39,0.1125,0.11,0.1276,0.0746
T01_AcM_21April,Patterned,Mean,197.3241,40,0.1387,0.1321,0.1487,0.0959
T01_AcM_21April,Patterned,Mean,197.3241,41,0.1586,0.1489,0.1632,0.1101
T01_AcM_21April,Patterned,Mean,197.3241,42,0.1724,0.1607,0.1715,0.1163
T01_AcM_21April,Patterned,Mean,197.3241,43,0.1824,0.1701,0.1768,0.1169
T01_AcM_21April,Patterned,Mean,197.3241,44,0.1928,0.1809,0.1831,0.1156
T01_AcM_21April,Patterned,Mean,197.3241,45,0.2076,0.197,0.1944,0.116
T01_AcM_21April,Patterned,Mean,197.3241,46,0.2265,0.2174,0.2119,0.1187
T01_AcM_21April,Patterned,Mean,197.3241,47,0.2472,0.2394,0.2355,0.1231
T01_AcM_21April,Patterned,Mean,197.3241,48,0.267,0.2603,0.2628,0.1261
T01_AcM_21April,Patterned,Mean,197.3241,49,0.2817,0.2754,0.2904,0.1241
T01_AcM_21April,Patterned,Mean,197.3241,50,0.2865,0.2802,0.3137,0.113
T01_AcM_21April,Patterned,Mean,197.3241,51,0.2821,0.2756,0.3295,0.0921
T01_AcM_21April,Patterned,Mean,197.3241,52,0.2702,0.2632,0.3383,0.0655
T01_AcM_21April,Patterned,Mean,197.3241,53,0.2497,0.2423,0.3396,0.0376
T01_AcM_21April,Patterned,Mean,197.3241,54,0.2247,0.217,0.336,0.0157
T01_AcM_21April,Patterned,Mean,197.3241,55,0.2297,0.2221,0.3352,0.0111
T01_AcM_21April,Patterned,Mean,197.3241,56,0.2569,0.2496,0.3327,0.02
T01_AcM_21April,Patterned,Mean,197.3241,57,0.2808,0.2741,0.3269,0.0392
T01_AcM_21April,Patterned,Mean,197.3241,58,0.2935,0.2876,0.3151,0.0623
T01_AcM_21April,Patterned,Mean,197.3241,59,0.2922,0.287,0.2947,0.0815
T01_AcM_21April,Patterned,Mean,197.3241,60,0.2771,0.2725,0.2659,0.0921
T01_AcM_21April,Patterned,Mean,197.3241,61,0.2511,0.2467,0.2307,0.0923
T01_AcM_21April,Patterned,Mean,197.3241,62,0.2194,0.2148,0.1928,0.0838
T01_AcM_21April,Patterned,Mean,197.3241,63,0.1884,0.1831,0.1564,0.0701
T01_AcM_21April,Patterned,Mean,197.3241,64,0.164,0.1576,0.1252,0.0559
T01_AcM_21April,Patterned,Mean,197.3241,65,0.1443,0.1367,0.1016,0.0449
T01_AcM_21April,Patterned,Mean,197.3241,66,0.1288,0.1202,0.0861,0.0388
T01_AcM_21April,Patterned,Mean,197.3241,67,0.1167,0.1077,0.078,0.0379
T01_AcM_21April,Patterned,Mean,197.3241,68,0.1075,0.0987,0.0764,0.0418
T01_AcM_21April,Patterned,Mean,197.3241,69,0.1008,0.0929,0.0794,0.0485
T01_AcM_21April,Patterned,Mean,197.3241,70,0.0958,0.0895,0.0845,0.0554
T01_AcM_21April,Patterned,Mean,197.3241,71,0.0912,0.087,0.089,0.0598
T01_AcM_21April,Patterned,Mean,197.3241,72,0.0853,0.0834,0.0903,0.0592
T01_AcM_21April,Patterned,Mean,197.3241,73,0.0771,0.0774,0.0869,0.0524
T01_AcM_21April,Patterned,Mean,197.3241,74,0.0675,0.0695,0.0797,0.041
T01_AcM_21April,Patterned,Mean,197.3241,75,0.0621,0.0649,0.0758,0.0326
T01_AcM_21April,Patterned,Mean,197.3241,76,0.0739,0.0761,0.0869,0.0385
T01_AcM_21April,Patterned,Mean,197.3241,77,0.096,0.096,0.1073,0.0531
T01_AcM_21April,Patterned,Mean,197.3241,78,0.1202,0.1167,0.1286,0.067
T01_AcM_21April,Patterned,Mean,197.3241,79,0.1432,0.1355,0.1468,0.0761
T01_AcM_21April,Patterned,Mean,197.3241,80,0.1634,0.1519,0.1617,0.0796
T01_AcM_21April,Patterned,Mean,197.3241,81,0.1814,0.1676,0.1754,0.0797
T01_AcM_21April,Patterned,Mean,197.3241,82,0.1983,0.1846,0.1895,0.0781
T01_AcM_21April,Patterned,Mean,197.3241,83,0.2121,0.2017,0.2048,0.0754
T01_AcM_21April,Patterned,Mean,197.3241,84,0.2216,0.2172,0.2215,0.0715
T01_AcM_21April,Patterned,Mean,197.3241,85,0.2261,0.2297,0.2391,0.0658
T01_AcM_21April,Patterned,Mean,197.3241,86,0.2244,0.237,0.2566,0.0569
T01_AcM_21April,Patterned,Mean,197.3241,87,0.2187,0.2403,0.273,0.0451
T01_AcM_21April,Patterned,Mean,197.3241,88,0.2144,0.2439,0.29,0.0337
T01_AcM_21April,Patterned,Mean,197.3241,89,0.2132,0.2493,0.3071,0.025
T01_AcM_21April,Patterned,Mean,197.3241,90,0.2136,0.2548,0.3207,0.0186
T01_AcM_21April,Patterned,Mean,197.3241,91,0.2153,0.2605,0.3283,0.0151
T01_AcM_21April,Patterned,Mean,197.3241,92,0.2202,0.2684,0.3271,0.0139
T01_AcM_21April,Patterned,Mean,197.3241,93,0.2285,0.2793,0.3161,0.0141
T01_AcM_21April,Patterned,Mean,197.3241,94,0.2378,0.2905,0.3003,0.0196
T01_AcM_21April,Patterned,Mean,197.3241,95,0.2456,0.2993,0.2834,0.0307
T01_AcM_21April,Patterned,Mean,197.3241,96,0.2485,0.3016,0.266,0.0443
T01_AcM_21April,Patterned,Mean,197.3241,97,0.2444,0.2947,0.2469,0.0552
T01_AcM_21April,Patterned,Mean,197.3241,98,0.2344,0.2789,0.2264,0.0608
T01_AcM_21April,Patterned,Mean,197.3241,99,0.2216,0.2569,0.2045,0.0597
T01_AcM_21April,Patterned,Mean,197.3241,100,0.2095,0.2326,0.1824,0.0531
T01_AcM_21April,Patterned,Mean,197.3241,101,0.2023,0.211,0.1626,0.0449
T01_AcM_21April,Patterned,Mean,197.3241,102,0.2015,0.1955,0.1488,0.0408
T01_AcM_21April,Patterned,Mean,197.3241,103,0.206,0.1868,0.1451,0.0465
T01_AcM_21April,Patterned,Mean,197.3241,104,0.2169,0.1872,0.1529,0.0644
T01_AcM_21April,Patterned,Mean,197.3241,105,0.2323,0.196,0.1712,0.0928
T01_AcM_21April,Patterned,Mean,197.3241,106,0.2493,0.21,0.1963,0.1258
T01_AcM_21April,Patterned,Mean,197.3241,107,0.2637,0.2251,0.2237,0.1565
T01_AcM_21April,Patterned,Mean,197.3241,108,0.2719,0.2372,0.2477,0.1769
T01_AcM_21April,Patterned,Mean,197.3241,109,0.2697,0.2421,0.2618,0.1794
T01_AcM_21April,Patterned,Mean,197.3241,110,0.254,0.237,0.2615,0.16
T01_AcM_21April,Patterned,Mean,197.3241,111,0.2251,0.222,0.2463,0.1207
T01_AcM_21April,Patterned,Mean,197.3241,112,0.1878,0.2017,0.2233,0.072
T01_AcM_21April,Patterned,Mean,197.3241,113,0.173,0.2059,0.2242,0.0491
T01_AcM_21April,Patterned,Mean,197.3241,114,0.2202,0.2726,0.2732,0.0792
T01_AcM_21April,Patterned,Mean,197.3241,115,0.2724,0.3431,0.3269,0.1203
T01_AcM_21April,Patterned,Mean,197.3241,116,0.3161,0.4021,0.3651,0.152
T01_AcM_21April,Patterned,Mean,197.3241,117,0.3484,0.4451,0.384,0.1697
T01_AcM_21April,Patterned,Mean,197.3241,118,0.3663,0.4684,0.383,0.1717
T01_AcM_21April,Patterned,Mean,197.3241,119,0.3688,0.4705,0.3658,0.1607
T01_AcM_21April,Patterned,Mean,197.3241,120,0.3578,0.4537,0.3375,0.1414
T01_AcM_21April,Averaged,Mean,197.3241,0,0.1039,0.0484,0.1181,0.014
T01_AcM_21April,Averaged,Mean,197.3241,1,0.1242,0.054,0.1308,0.0224
T01_AcM_21April,Averaged,Mean,197.3241,2,0.1466,0.0595,0.1447,0.0349
T01_AcM_21April,Averaged,Mean,197.3241,3,0.1702,0.0646,0.161,0.0522
T01_AcM_21April,Averaged,Mean,197.3241,4,0.1931,0.0683,0.1788,0.0724
T01_AcM_21April,Averaged,Mean,197.3241,5,0.2132,0.0701,0.1967,0.0926
T01_AcM_21April,Averaged,Mean,197.3241,6,0.2285,0.0701,0.213,0.11
T01_AcM_21April,Averaged,Mean,197.3241,7,0.2377,0.0689,0.2264,0.1223
T01_AcM_21April,Averaged,Mean,197.3241,8,0.2397,0.0675,0.2353,0.1277
T01_AcM_21April,Averaged,Mean,197.3241,9,0.2357,0.0681,0.2392,0.126
T01_AcM_21April,Averaged,Mean,197.3241,10,0.2262,0.071,0.2374,0.1176
T01_AcM_21April,Averaged,Mean,197.3241,11,0.2111,0.0751,0.2331,0.1068
T01_AcM_21April,Averaged,Mean,197.3241,12,0.2122,0.1,0.242,0.1107
T01_AcM_21April,Averaged,Mean,197.3241,13,0.2256,0.1391,0.2585,0.1248
T01_AcM_21April,Averaged,Mean,197.3241,14,0.2331,0.1722,0.2675,0.1342
T01_AcM_21April,Averaged,Mean,197.3241,15,0.2316,0.1945,0.2653,0.135
T01_AcM_21April,Averaged,Mean,197.3241,16,0.2211,0.2054,0.2526,0.1273
T01_AcM_21April,Averaged,Mean,197.3241,17,0.2037,0.2069,0.2318,0.1128
T01_AcM_21April,Averaged,Mean,197.3241,18,0.1826,0.2021,0.2062,0.0939
T01_AcM_21April,Averaged,Mean,197.3241,19,0.1606,0.1941,0.1794,0.0734
T01_AcM_21April,Averaged,Mean,197.3241,20,0.1399,0.1846,0.1542,0.054
T01_AcM_21April,Averaged,Mean,197.3241,21,0.1221,0.175,0.1326,0.0373
T01_AcM_21April,Averaged,Mean,197.3241,22,0.1083,0.1662,0.1157,0.0243
T01_AcM_21April,Averaged,Mean,197.3241,23,0.0988,0.1585,0.104,0.0155
T01_AcM_21April,Averaged,Mean,197.3241,24,0.0936,0.1522,0.0972,0.0106
T01_AcM_21April,Averaged,Mean,197.3241,25,0.092,0.1472,0.0952,0.0096
T01_AcM_21April,Averaged,Mean,197.3241,26,0.0934,0.1434,0.0977,0.0123
T01_AcM_21April,Averaged,Mean,197.3241,27,0.0965,0.1407,0.1043,0.0184
T01_AcM_21April,Averaged,Mean,197.3241,28,0.1001,0.1385,0.1145,0.0277
T01_AcM_21April,Averaged,Mean,197.3241,29,0.1031,0.1364,0.1274,0.0391
T01_AcM_21April,Averaged,Mean,197.3241,30,0.1047,0.1339,0.1412,0.0508
T01_AcM_21April,Averaged,Mean,197.3241,31,0.1043,0.1309,0.1538,0.0606
T01_AcM_21April,Averaged,Mean,197.3241,32,0.1015,0.1269,0.1626,0.066
T01_AcM_21April,Averaged,Mean,197.3241,33,0.0961,0.1216,0.1657,0.0652
T01_AcM_21April,Averaged,Mean,197.3241,34,0.0881,0.1146,0.162,0.058
T01_AcM_21April,Averaged,Mean,197.3241,35,0.0777,0.1053,0.1526,0.046
T01_AcM_21April,Averaged,Mean,197.3241,36,0.0665,0.0952,0.1417,0.0342
T01_AcM_21April,Averaged,Mean,197.3241,37,0.0603,0.0892,0.1346,0.0284
T01_AcM_21April,Averaged,Mean,197.3241,38,0.0664,0.0943,0.1379,0.035
T01_AcM_21April,Averaged,Mean,197.3241,39,0.0841,0.1097,0.1483,0.0502
T01_AcM_21April,Averaged,Mean,197.3241,40,0.1041,0.1262,0.1586,0.0658
T01_AcM_21April,Averaged,Mean,197.3241,41,0.1229,0.1407,0.1645,0.0765
T01_AcM_21April,Averaged,Mean,197.3241,42,0.1395,0.153,0.1663,0.0817
T01_AcM_21April,Averaged,Mean,197.3241,43,0.1526,0.1621,0.1658,0.0823
T01_AcM_21April,Averaged,Mean,197.3241,44,0.1611,0.1674,0.1654,0.0805
T01_AcM_21April,Averaged,Mean,197.3241,45,0.1648,0.1689,0.1676,0.0782
T01_AcM_21April,Averaged,Mean,197.3241,46,0.1639,0.167,0.1749,0.0773
T01_AcM_21April,Averaged,Mean,197.3241,47,0.1594,0.1626,0.1874,0.0778
T01_AcM_21April,Averaged,Mean,197.3241,48,0.1525,0.1567,0.2039,0.0777
T01_AcM_21April,Averaged,Mean,197.3241,49,0.144,0.1496,0.222,0.0745
T01_AcM_21April,Averaged,Mean,197.3241,50,0.1339,0.1411,0.2386,0.0659
T01_AcM_21April,Averaged,Mean,197.3241,51,0.1211,0.1298,0.2513,0.0513
T01_AcM_21April,Averaged,Mean,197.3241,52,0.1028,0.1125,0.2594,0.0328
T01_AcM_21April,Averaged,Mean,197.3241,53,0.0797,0.0899,0.263,0.0139
T01_AcM_21April,Averaged,Mean,197.3241,54,0.0621,0.0722,0.2656,0.0015
T01_AcM_21April,Averaged,Mean,197.3241,55,0.0734,0.0831,0.2708,0.0017
T01_AcM_21April,Averaged,Mean,197.3241,56,0.0965,0.1054,0.2724,0.0087
T01_AcM_21April,Averaged,Mean,197.3241,57,0.1201,0.1281,0.2694,0.0208
T01_AcM_21April,Averaged,Mean,197.3241,58,0.1379,0.1451,0.261,0.0347
T01_AcM_21April,Averaged,Mean,197.3241,59,0.1482,0.1544,0.2464,0.0465
T01_AcM_21April,Averaged,Mean,197.3241,60,0.1517,0.1569,0.2262,0.0532
T01_AcM_21April,Averaged,Mean,197.3241,61,0.1507,0.1546,0.202,0.0539
T01_AcM_21April,Averaged,Mean,197.3241,62,0.1473,0.1494,0.1761,0.0492
T01_AcM_21April,Averaged,Mean,197.3241,63,0.1434,0.1432,0.1513,0.0413
T01_AcM_21April,Averaged,Mean,197.3241,64,0.1396,0.1367,0.1302,0.033
T01_AcM_21April,Averaged,Mean,197.3241,65,0.1364,0.1307,0.1144,0.0266
T01_AcM_21April,Averaged,Mean,197.3241,66,0.1333,0.125,0.1049,0.0236
T01_AcM_21April,Averaged,Mean,197.3241,67,0.1299,0.1197,0.1014,0.0245
T01_AcM_21April,Averaged,Mean,197.3241,68,0.1259,0.1149,0.1028,0.0284
T01_AcM_21April,Averaged,Mean,197.3241,69,0.1214,0.1104,0.1075,0.0339
T01_AcM_21April,Averaged,Mean,197.3241,70,0.1164,0.1063,0.113,0.0386
T01_AcM_21April,Averaged,Mean,197.3241,71,0.1112,0.1025,0.1176,0.0412
T01_AcM_21April,Averaged,Mean,197.3241,72,0.1055,0.0983,0.1195,0.0401
T01_AcM_21April,Averaged,Mean,197.3241,73,0.0989,0.0929,0.1173,0.0349
T01_AcM_21April,Averaged,Mean,197.3241,74,0.0917,0.0861,0.1116,0.0267
T01_AcM_21April,Averaged,Mean,197.3241,75,0.0869,0.0808,0.1074,0.0208
