butterfly,path,hitbox_image,frame,hitbox_x,hitbox_y,hitbox_w,hitbox_h,hitbox_r,hitbox_area,body_area,forewing_area,hindwing_area,tail_area
Brintesia_circe__Male,10,0001.png,1,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0002.png,2,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0003.png,3,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0004.png,4,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0005.png,5,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0006.png,6,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0007.png,7,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0008.png,8,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0009.png,9,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0010.png,10,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0011.png,11,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0012.png,12,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0013.png,13,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0014.png,14,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0015.png,15,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0016.png,16,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0017.png,17,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0018.png,18,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0019.png,19,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0020.png,20,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0021.png,21,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0022.png,22,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0023.png,23,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0024.png,24,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0025.png,25,0,0,0,0,0,0,0,0,0,0
Brintesia_circe__Male,10,0026.png,26,0,0,0,0,0,0,0,0,0,0
