PlayerID,Handedness,Tutorial,Phase,trialNumber,butterfly,pathNumber,flipX,flipY,click,clickX,clickY,clickDeg,clickDist,clickLeftRight,clickFrontBack,clickRGB_R,clickRGB_G,clickRGB_B,clickTime,clickFrame,clickHit,butterflyX,butterflyY,butterflyDeg,stimuliDuration,displayRate,Date,Time
P039,right,0,4,14,Brintesia_circe__Male,08,1,1,1,1162,192,10.8695998169225,81.4579482575814,"""Right""","""Front""",255,200,56,0.5494232,126,1,1238.99123670276,218.603511146353,-171.807548359955,0.5535038,231.254643159632,2026-02-03,12:56:52
P039,right,0,4,15,Gonepteryx_cleobule__Male,03,1,0,1,1237,551,125.53821315205,145.539045097921,"""Right""","""Back""",0,0,0,0.4627962,112,0,1103.90527099315,609.884690358425,-149.404101332768,0.4665883,244.327319737875,2026-02-03,12:56:55
P039,right,0,4,16,Pyrgus_sidae__Male,05,1,1,1,1231,301,-139.807229215166,212.640048976841,"""Left""","""Back""",0,0,0,0.4321412,103,0,1030.94844828978,373.077507498579,-240.006591963582,0.4359738,240.840768240764,2026-02-03,12:56:59
P039,right,0,4,17,Lycaena_tityrus__Female,07,1,1,1,1170,241,-100.053691444379,73.1004060330834,"""Left""","""Back""",255,230,48,0.5130904,120,1,1167.85006848384,167.931216263869,-171.631658531018,0.5168889,236.028012268813,2026-02-03,12:57:02
P039,right,0,4,18,Papilio_alexanor__Female,02,1,0,1,1375,774,100.849710367494,65.4635370611694,"""Right""","""Back""",255,255,53,0.38434,91,1,1343.4851558301,831.378474025595,-162.072135744621,0.3885699,239.340716694195,2026-02-03,12:57:06
P039,right,0,4,19,Brintesia_circe__Male,10,1,1,1,1307,316,-111.351832803355,116.879845530922,"""Left""","""Back""",0,0,0,0.4632607,105,0,1267.59548595483,205.962812812229,-178.350704163262,0.4655477,229.837258037216,2026-02-03,12:57:09
P039,right,0,4,20,Gonepteryx_cleobule__Male,04,0,1,1,935,553,153.001382737848,71.3284464150902,"""Right""","""Back""",255,231,21,0.6695068,155,1,1003.11473088188,574.169097875905,-315.736874851683,0.6733757,233.154581487526,2026-02-03,12:57:12
P039,right,0,4,21,Lycaena_tityrus__Female,06,0,1,1,1074,413,81.8212560225986,33.4408682666587,"""Right""","""Front""",255,255,98,0.5751062,134,1,1088.25795971108,382.750995796468,-326.584268169788,0.5786387,235.034806753863,2026-02-03,12:57:16
P039,right,0,4,22,Papilio_alexanor__Female,09,1,1,1,1382,313,-36.9778333996153,20.9347722389318,"""Left""","""Front""",255,200,108,0.3840338,90,1,1402.71155448609,309.951033049453,-151.396582442588,0.3890505,236.473643341712,2026-02-03,12:57:19
P039,right,0,4,23,Pyrgus_sidae__Male,01,0,0,1,770,547,74.6259138915969,89.4939365926684,"""Right""","""Front""",0,0,0,0.4387045,101,0,700.05705914816,491.168559826488,-36.0275530019271,0.4426101,232.711564183205,2026-02-03,12:57:22
P039,right,0,4,24,Brintesia_circe__Male,08,0,0,1,712,823,-26.4094673894339,119.424867494836,"""Left""","""Front""",0,0,0,0.4581586,105,0,594.103482895665,842.044952896408,17.2332020503667,0.4613597,231.923663734964,2026-02-03,12:57:26
P039,right,0,4,25,Gonepteryx_cleobule__Male,03,1,1,1,1430,306,-176.876005897464,251.903000395192,"""Left""","""Back""",0,0,0,0.3944731,90,0,1209.23875215029,427.324330024684,-211.915982933632,0.3980673,231.117452884698,2026-02-03,12:57:29
P039,right,0,4,26,Pyrgus_sidae__Male,05,1,1,1,941,273,127.026655613873,165.161913532298,"""Right""","""Back""",0,0,0,0.5398156,123,0,946.005523847946,438.086045481312,-218.763371460556,0.5444087,229.607501589343,2026-02-03,12:57:33
P039,right,0,4,27,Lycaena_tityrus__Female,07,1,1,1,1151,321,-83.3453741500373,152.913774700802,"""Left""","""Front""",0,0,0,0.4945846,115,0,1187.33884587837,172.466802453202,-172.907172202065,0.4984283,234.738440185134,2026-02-03,12:57:36
P039,right,0,4,28,Papilio_alexanor__Female,02,1,1,1,1327,212,134.46074367042,80.710692855736,"""Right""","""Back""",255,100,41,0.4568971,105,1,1287.20738465936,282.219396932792,-194.920958552003,0.4607236,232.243921232412,2026-02-03,12:57:40
P039,right,0,4,29,Brintesia_circe__Male,10,1,1,1,1485,297,-159.970939753418,186.961733913589,"""Left""","""Back""",0,0,0,0.3842439,93,0,1317.43620479182,214.071931872217,-173.69804753942,0.3892874,244.036204697569,2026-02-03,12:57:43
P039,right,0,4,30,Gonepteryx_cleobule__Male,04,1,0,1,1253,502,116.046563793675,198.918092421581,"""Right""","""Back""",0,0,0,0.4964102,115,0,1083.04938862507,605.36922746122,-147.355826628231,0.5005251,233.754931329994,2026-02-03,12:57:46
