genus,species,genusSpecies,sex,treatment,render_method,flight_method,left_mean,left_dev,right_mean,right_dev,up_mean,up_dev,down_mean,down_dev
Coenonympha,dorus,Coenonympha_dorus,Male,Averaged_Gliding,Averaged,Gliding,0.0087,9.92E-06,0.0087,9.94E-06,0.02,1.72E-05,4.24E-07,5.09E-07
Coenonympha,dorus,Coenonympha_dorus,Male,Averaged_Flapping,Averaged,Flapping,0.0078,0.0015,0.0078,0.0015,0.009,0.0034,0.002,0.0014
Coenonympha,dorus,Coenonympha_dorus,Male,White_Gliding,White,Gliding,1.0293,0.0012,1.0296,0.0012,2.38,0.002,5.05E-05,6.05E-05
Coenonympha,dorus,Coenonympha_dorus,Male,White_Flapping,White,Flapping,0.7789,0.2011,0.78,0.2012,0.9679,0.4539,0.2092,0.142
Coenonympha,gardetta,Coenonympha_gardetta,Female,Patterned_Gliding,Patterned,Gliding,0.0663,0.0004,0.0665,0.0004,0.0934,0.0004,1.55E-05,2.49E-05
Coenonympha,gardetta,Coenonympha_gardetta,Female,Patterned_Flapping,Patterned,Flapping,0.0339,0.0125,0.0342,0.0126,0.0397,0.0211,0.0076,0.0031
Coenonympha,gardetta,Coenonympha_gardetta,Female,Averaged_Gliding,Averaged,Gliding,0.0052,5.31E-06,0.0052,5.30E-06,0.0137,1.05E-05,2.57E-07,3.09E-07
Coenonympha,gardetta,Coenonympha_gardetta,Female,Averaged_Flapping,Averaged,Flapping,0.0055,0.0013,0.0055,0.0013,0.0068,0.0021,0.0014,0.001
Coenonympha,gardetta,Coenonympha_gardetta,Female,White_Gliding,White,Gliding,1.0147,0.001,1.0154,0.001,2.6912,0.0021,5.03E-05,6.06E-05
Coenonympha,gardetta,Coenonympha_gardetta,Female,White_Flapping,White,Flapping,0.7885,0.1979,0.7902,0.198,1.102,0.5059,0.2234,0.1474
Coenonympha,gardetta,Coenonympha_gardetta,Male,Patterned_Gliding,Patterned,Gliding,0.1191,0.0004,0.1189,0.0004,0.1962,0.0005,1.80E-05,2.68E-05
Coenonympha,gardetta,Coenonympha_gardetta,Male,Patterned_Flapping,Patterned,Flapping,0.0557,0.0184,0.0558,0.0185,0.0736,0.038,0.0165,0.0081
Coenonympha,gardetta,Coenonympha_gardetta,Male,Averaged_Gliding,Averaged,Gliding,0.028,3.64E-05,0.028,3.66E-05,0.0709,6.26E-05,1.52E-06,1.84E-06
Coenonympha,gardetta,Coenonympha_gardetta,Male,Averaged_Flapping,Averaged,Flapping,0.0222,0.005,0.0223,0.0051,0.0293,0.0129,0.0064,0.0044
Coenonympha,gardetta,Coenonympha_gardetta,Male,White_Gliding,White,Gliding,1.061,0.0014,1.0626,0.0014,2.6916,0.0024,5.76E-05,6.97E-05
Coenonympha,gardetta,Coenonympha_gardetta,Male,White_Flapping,White,Flapping,0.8029,0.2149,0.8046,0.216,1.0774,0.5074,0.2309,0.1561
Coenonympha,glycerion,Coenonympha_glycerion,Female,Patterned_Gliding,Patterned,Gliding,0.0468,0.0002,0.0471,0.0002,0.1018,0.0005,1.90E-05,1.11E-05
Coenonympha,glycerion,Coenonympha_glycerion,Female,Patterned_Flapping,Patterned,Flapping,0.0284,0.0101,0.0287,0.0101,0.0426,0.0237,0.0066,0.0022
Coenonympha,glycerion,Coenonympha_glycerion,Female,Averaged_Gliding,Averaged,Gliding,0.0064,6.43E-06,0.0064,6.44E-06,0.0181,1.61E-05,4.16E-07,5.52E-07
Coenonympha,glycerion,Coenonympha_glycerion,Female,Averaged_Flapping,Averaged,Flapping,0.0044,0.0014,0.0044,0.0014,0.0066,0.0036,0.0015,0.001
Coenonympha,glycerion,Coenonympha_glycerion,Female,White_Gliding,White,Gliding,0.9259,0.0009,0.9273,0.0009,2.6113,0.0023,5.99E-05,7.96E-05
Coenonympha,glycerion,Coenonympha_glycerion,Female,White_Flapping,White,Flapping,0.7554,0.1924,0.7567,0.1926,1.0868,0.5001,0.2281,0.1462
Coenonympha,glycerion,Coenonympha_glycerion,Male,Patterned_Gliding,Patterned,Gliding,0.0673,0.0003,0.0673,0.0003,0.0783,0.0003,1.05E-05,1.40E-05
Coenonympha,glycerion,Coenonympha_glycerion,Male,Patterned_Flapping,Patterned,Flapping,0.0261,0.0093,0.0263,0.0093,0.0259,0.0141,0.0062,0.0035
Coenonympha,glycerion,Coenonympha_glycerion,Male,Averaged_Gliding,Averaged,Gliding,0.0056,5.11E-06,0.0056,5.13E-06,0.014,1.05E-05,2.72E-07,3.49E-07
Coenonympha,glycerion,Coenonympha_glycerion,Male,Averaged_Flapping,Averaged,Flapping,0.0054,0.0009,0.0054,0.0009,0.0065,0.0023,0.0014,0.0009
Coenonympha,glycerion,Coenonympha_glycerion,Male,White_Gliding,White,Gliding,0.9836,0.0009,0.9848,0.0009,2.4461,0.0018,4.77E-05,6.13E-05
Coenonympha,glycerion,Coenonympha_glycerion,Male,White_Flapping,White,Flapping,0.7749,0.2011,0.776,0.2013,1.0005,0.4681,0.216,0.1434
Coenonympha,hero,Coenonympha_hero,Female,Patterned_Gliding,Patterned,Gliding,0.0552,0.0002,0.0554,0.0002,0.0694,0.0002,7.84E-06,1.98E-05
Coenonympha,hero,Coenonympha_hero,Female,Patterned_Flapping,Patterned,Flapping,0.0251,0.0085,0.0252,0.0085,0.026,0.0124,0.0075,0.0039
Coenonympha,hero,Coenonympha_hero,Female,Averaged_Gliding,Averaged,Gliding,0.0087,9.05E-06,0.0087,9.09E-06,0.0237,1.83E-05,4.56E-07,5.25E-07
Coenonympha,hero,Coenonympha_hero,Female,Averaged_Flapping,Averaged,Flapping,0.0079,0.0015,0.0079,0.0015,0.0107,0.0041,0.0022,0.0015
Coenonympha,hero,Coenonympha_hero,Female,White_Gliding,White,Gliding,0.9444,0.001,0.9466,0.001,2.5793,0.002,4.97E-05,5.72E-05
Coenonympha,hero,Coenonympha_hero,Female,White_Flapping,White,Flapping,0.7491,0.1876,0.7506,0.1879,1.0622,0.4858,0.2192,0.1469
Coenonympha,hero,Coenonympha_hero,Male,Patterned_Gliding,Patterned,Gliding,0.0739,0.0002,0.0738,0.0002,0.1163,0.0002,1.01E-05,2.59E-05
Coenonympha,hero,Coenonympha_hero,Male,Patterned_Flapping,Patterned,Flapping,0.0348,0.0114,0.0348,0.0114,0.043,0.0214,0.0124,0.0068
Coenonympha,hero,Coenonympha_hero,Male,Averaged_Gliding,Averaged,Gliding,0.0192,1.43E-05,0.0192,1.43E-05,0.0525,3.53E-05,9.42E-07,1.15E-06
Coenonympha,hero,Coenonympha_hero,Male,Averaged_Flapping,Averaged,Flapping,0.0163,0.0038,0.0163,0.0038,0.0219,0.0097,0.0047,0.0032
Coenonympha,hero,Coenonympha_hero,Male,White_Gliding,White,Gliding,0.8837,0.0007,0.8848,0.0007,2.4161,0.0016,4.34E-05,5.29E-05
Coenonympha,hero,Coenonympha_hero,Male,White_Flapping,White,Flapping,0.7384,0.1816,0.7395,0.1816,1.0005,0.4575,0.2118,0.1408
Coenonympha,leander,Coenonympha_leander,Female,Patterned_Gliding,Patterned,Gliding,0.0572,0.0005,0.0573,0.0005,0.1213,0.0007,2.16E-05,1.53E-05
Coenonympha,leander,Coenonympha_leander,Female,Patterned_Flapping,Patterned,Flapping,0.0331,0.0111,0.0332,0.0111,0.0467,0.0256,0.0053,0.002
Coenonympha,leander,Coenonympha_leander,Female,Averaged_Gliding,Averaged,Gliding,0.0002,2.36E-07,0.0002,2.36E-07,0.0006,4.05E-07,9.63E-09,1.35E-08
Coenonympha,leander,Coenonympha_leander,Female,Averaged_Flapping,Averaged,Flapping,0.0008,0.0008,0.0008,0.0008,0.0006,0.0002,0.0001,9.65E-05
Coenonympha,leander,Coenonympha_leander,Female,White_Gliding,White,Gliding,0.9808,0.0011,0.9826,0.0011,2.546,0.0018,4.29E-05,6.02E-05
Coenonympha,leander,Coenonympha_leander,Female,White_Flapping,White,Flapping,0.7763,0.1903,0.7778,0.1904,1.0465,0.4763,0.2144,0.1446
Coenonympha,leander,Coenonympha_leander,Male,Patterned_Gliding,Patterned,Gliding,0.0733,0.0003,0.0733,0.0003,0.0899,0.0003,1.22E-05,1.27E-05
Coenonympha,leander,Coenonympha_leander,Male,Patterned_Flapping,Patterned,Flapping,0.032,0.0116,0.0322,0.0116,0.0319,0.0176,0.0088,0.0045
Coenonympha,leander,Coenonympha_leander,Male,Averaged_Gliding,Averaged,Gliding,0.0089,9.35E-06,0.0089,9.38E-06,0.0223,1.79E-05,4.46E-07,5.34E-07
Coenonympha,leander,Coenonympha_leander,Male,Averaged_Flapping,Averaged,Flapping,0.0079,0.0015,0.0079,0.0015,0.0097,0.0038,0.002,0.0013
Coenonympha,leander,Coenonympha_leander,Male,White_Gliding,White,Gliding,0.9855,0.001,0.9856,0.001,2.4654,0.002,4.94E-05,5.91E-05
Coenonympha,leander,Coenonympha_leander,Male,White_Flapping,White,Flapping,0.7839,0.2013,0.7847,0.2014,1.0057,0.4649,0.2115,0.1417
Coenonympha,oedippus,Coenonympha_oedippus,Female,Patterned_Gliding,Patterned,Gliding,0.1237,0.0002,0.1238,0.0002,0.2973,0.0003,9.80E-06,1.86E-05
Coenonympha,oedippus,Coenonympha_oedippus,Female,Patterned_Flapping,Patterned,Flapping,0.0878,0.0226,0.0879,0.0226,0.1212,0.056,0.0249,0.0159
Coenonympha,oedippus,Coenonympha_oedippus,Female,Averaged_Gliding,Averaged,Gliding,0.0788,7.45E-05,0.0789,7.45E-05,0.2249,0.0001,3.72E-06,4.90E-06
Coenonympha,oedippus,Coenonympha_oedippus,Female,Averaged_Flapping,Averaged,Flapping,0.0637,0.0152,0.0638,0.0153,0.0932,0.0418,0.0187,0.0125
Coenonympha,oedippus,Coenonympha_oedippus,Female,White_Gliding,White,Gliding,0.9585,0.0009,0.96,0.0009,2.7358,0.0018,4.53E-05,5.95E-05
Coenonympha,oedippus,Coenonympha_oedippus,Female,White_Flapping,White,Flapping,0.7639,0.1909,0.7651,0.191,1.1227,0.5137,0.2244,0.1474
Coenonympha,oedippus,Coenonympha_oedippus,Male,Patterned_Gliding,Patterned,Gliding,0.1444,0.0002,0.1444,0.0002,0.35,0.0003,7.56E-06,6.93E-06
Coenonympha,oedippus,Coenonympha_oedippus,Male,Patterned_Flapping,Patterned,Flapping,0.1128,0.0299,0.1131,0.0299,0.142,0.0656,0.0308,0.0201
Coenonympha,oedippus,Coenonympha_oedippus,Male,Averaged_Gliding,Averaged,Gliding,0.1225,0.0001,0.1227,0.0001,0.3105,0.0002,5.61E-06,5.97E-06
Coenonympha,oedippus,Coenonympha_oedippus,Male,Averaged_Flapping,Averaged,Flapping,0.0978,0.0243,0.098,0.0244,0.1267,0.0585,0.0263,0.0177
Coenonympha,oedippus,Coenonympha_oedippus,Male,White_Gliding,White,Gliding,0.9822,0.001,0.9835,0.001,2.4886,0.0018,4.50E-05,4.78E-05
Coenonympha,oedippus,Coenonympha_oedippus,Male,White_Flapping,White,Flapping,0.7862,0.1965,0.7878,0.1968,1.0172,0.4688,0.2106,0.1411
Coenonympha,orientalis,Coenonympha_orientalis,Female,Patterned_Gliding,Patterned,Gliding,0.0478,0.0003,0.048,0.0003,0.0638,0.0003,1.54E-05,1.22E-05
Coenonympha,orientalis,Coenonympha_orientalis,Female,Patterned_Flapping,Patterned,Flapping,0.0256,0.0085,0.0258,0.0086,0.0287,0.0151,0.0052,0.0015
Coenonympha,orientalis,Coenonympha_orientalis,Female,Averaged_Gliding,Averaged,Gliding,0.0051,5.00E-06,0.0051,5.01E-06,0.0141,1.15E-05,2.73E-07,3.62E-07
Coenonympha,orientalis,Coenonympha_orientalis,Female,Averaged_Flapping,Averaged,Flapping,0.0034,0.001,0.0034,0.001,0.0049,0.0028,0.0012,0.0008
Coenonympha,orientalis,Coenonympha_orientalis,Female,White_Gliding,White,Gliding,0.9274,0.0009,0.928,0.0009,2.5501,0.0021,4.93E-05,6.53E-05
Coenonympha,orientalis,Coenonympha_orientalis,Female,White_Flapping,White,Flapping,0.7296,0.179,0.731,0.1792,1.0433,0.4791,0.2142,0.1435
Coenonympha,orientalis,Coenonympha_orientalis,Male,Patterned_Gliding,Patterned,Gliding,0.053,0.0001,0.053,0.0001,0.0708,0.0002,8.41E-06,1.20E-05
Coenonympha,orientalis,Coenonympha_orientalis,Male,Patterned_Flapping,Patterned,Flapping,0.022,0.009,0.0221,0.009,0.0222,0.013,0.0079,0.0043
Coenonympha,orientalis,Coenonympha_orientalis,Male,Averaged_Gliding,Averaged,Gliding,0.009,8.30E-06,0.009,8.33E-06,0.0232,1.88E-05,4.91E-07,5.90E-07
Coenonympha,orientalis,Coenonympha_orientalis,Male,Averaged_Flapping,Averaged,Flapping,0.0077,0.0017,0.0078,0.0017,0.0099,0.0042,0.0021,0.0014
Coenonympha,orientalis,Coenonympha_orientalis,Male,White_Gliding,White,Gliding,0.936,0.0009,0.9371,0.0009,2.4165,0.002,5.11E-05,6.15E-05
Coenonympha,orientalis,Coenonympha_orientalis,Male,White_Flapping,White,Flapping,0.7642,0.1938,0.7656,0.1941,1.0004,0.4615,0.2142,0.1408
Coenonympha,pamphilus,Coenonympha_pamphilus,Female,Patterned_Gliding,Patterned,Gliding,0.1274,0.0003,0.1281,0.0003,0.2387,0.0004,1.51E-05,1.38E-05
Coenonympha,pamphilus,Coenonympha_pamphilus,Female,Patterned_Flapping,Patterned,Flapping,0.0871,0.0277,0.0875,0.0277,0.0986,0.0453,0.0256,0.0143
Coenonympha,pamphilus,Coenonympha_pamphilus,Female,Averaged_Gliding,Averaged,Gliding,0.0682,6.26E-05,0.0683,6.27E-05,0.193,0.0002,4.57E-06,5.99E-06
Coenonympha,pamphilus,Coenonympha_pamphilus,Female,Averaged_Flapping,Averaged,Flapping,0.0457,0.0163,0.0458,0.0163,0.0704,0.0385,0.0154,0.0099
Coenonympha,pamphilus,Coenonympha_pamphilus,Female,White_Gliding,White,Gliding,0.9873,0.0009,0.9876,0.0009,2.7928,0.0027,6.62E-05,8.66E-05
Coenonympha,pamphilus,Coenonympha_pamphilus,Female,White_Flapping,White,Flapping,0.7727,0.1957,0.7743,0.1958,1.141,0.5301,0.2391,0.1551
Coenonympha,pamphilus,Coenonympha_pamphilus,Male,Patterned_Gliding,Patterned,Gliding,0.0556,0.0003,0.0556,0.0003,0.0742,0.0004,1.94E-05,1.47E-05
Coenonympha,pamphilus,Coenonympha_pamphilus,Male,Patterned_Flapping,Patterned,Flapping,0.0393,0.0117,0.0393,0.0118,0.0427,0.0216,0.0067,0.0027
Coenonympha,pamphilus,Coenonympha_pamphilus,Male,Averaged_Gliding,Averaged,Gliding,0.0089,7.10E-06,0.0089,7.22E-06,0.0235,2.26E-05,5.66E-07,6.48E-07
Coenonympha,pamphilus,Coenonympha_pamphilus,Male,Averaged_Flapping,Averaged,Flapping,0.006,0.0017,0.006,0.0017,0.008,0.0046,0.0019,0.0012
Coenonympha,pamphilus,Coenonympha_pamphilus,Male,White_Gliding,White,Gliding,0.9298,0.0007,0.933,0.0008,2.4513,0.0024,5.90E-05,6.76E-05
Coenonympha,pamphilus,Coenonympha_pamphilus,Male,White_Flapping,White,Flapping,0.7413,0.1905,0.7434,0.1913,0.9997,0.4662,0.2155,0.1428
Coenonympha,rhodopensis,Coenonympha_rhodopensis,Female,Patterned_Gliding,Patterned,Gliding,0.0335,0.0002,0.0336,0.0002,0.0659,0.0003,1.27E-05,7.93E-06
Coenonympha,rhodopensis,Coenonympha_rhodopensis,Female,Patterned_Flapping,Patterned,Flapping,0.0241,0.0076,0.0242,0.0076,0.0321,0.0149,0.0058,0.0026
Coenonympha,rhodopensis,Coenonympha_rhodopensis,Female,Averaged_Gliding,Averaged,Gliding,0.01,1.06E-05,0.01,1.07E-05,0.0276,1.90E-05,5.21E-07,7.49E-07
Coenonympha,rhodopensis,Coenonympha_rhodopensis,Female,Averaged_Flapping,Averaged,Flapping,0.0065,0.0022,0.0065,0.0022,0.0098,0.0055,0.0022,0.0015
Coenonympha,rhodopensis,Coenonympha_rhodopensis,Female,White_Gliding,White,Gliding,0.9475,0.001,0.9494,0.001,2.6272,0.0018,4.95E-05,7.12E-05
Coenonympha,rhodopensis,Coenonympha_rhodopensis,Female,White_Flapping,White,Flapping,0.7538,0.1781,0.7552,0.1781,1.0955,0.4906,0.2253,0.1527
Coenonympha,rhodopensis,Coenonympha_rhodopensis,Male,Patterned_Gliding,Patterned,Gliding,0.0363,0.0002,0.0366,0.0002,0.0453,0.0003,1.35E-05,1.10E-05
Coenonympha,rhodopensis,Coenonympha_rhodopensis,Male,Patterned_Flapping,Patterned,Flapping,0.0251,0.0088,0.0255,0.0089,0.025,0.014,0.0042,0.0015
Coenonympha,rhodopensis,Coenonympha_rhodopensis,Male,Averaged_Gliding,Averaged,Gliding,0.0042,3.80E-06,0.0042,3.81E-06,0.0101,8.36E-06,2.24E-07,2.50E-07
Coenonympha,rhodopensis,Coenonympha_rhodopensis,Male,Averaged_Flapping,Averaged,Flapping,0.0028,0.0007,0.0028,0.0007,0.0034,0.002,0.0008,0.0005
Coenonympha,rhodopensis,Coenonympha_rhodopensis,Male,White_Gliding,White,Gliding,0.9753,0.0009,0.976,0.0009,2.3488,0.0019,5.21E-05,5.82E-05
Coenonympha,rhodopensis,Coenonympha_rhodopensis,Male,White_Flapping,White,Flapping,0.7777,0.1948,0.7788,0.1947,0.9764,0.4493,0.2108,0.1412
Coenonympha,thyrsis,Coenonympha_thyrsis,Female,Patterned_Gliding,Patterned,Gliding,0.1202,0.0002,0.1207,0.0002,0.2116,8.94E-05,6.09E-06,6.76E-06
Coenonympha,thyrsis,Coenonympha_thyrsis,Female,Patterned_Flapping,Patterned,Flapping,0.0851,0.0247,0.0856,0.0248,0.0876,0.0428,0.0219,0.0119
Coenonympha,thyrsis,Coenonympha_thyrsis,Female,Averaged_Gliding,Averaged,Gliding,0.0579,4.30E-05,0.058,4.33E-05,0.1703,0.0001,3.24E-06,3.60E-06
Coenonympha,thyrsis,Coenonympha_thyrsis,Female,Averaged_Flapping,Averaged,Flapping,0.0427,0.0145,0.0428,0.0145,0.0644,0.0343,0.0141,0.0094
Coenonympha,thyrsis,Coenonympha_thyrsis,Female,White_Gliding,White,Gliding,0.845,0.0006,0.8468,0.0006,2.4844,0.0017,4.73E-05,5.25E-05
Coenonympha,thyrsis,Coenonympha_thyrsis,Female,White_Flapping,White,Flapping,0.7256,0.1723,0.7274,0.1725,1.0463,0.47,0.2183,0.1424
Coenonympha,thyrsis,Coenonympha_thyrsis,Male,Patterned_Gliding,Patterned,Gliding,0.066,0.0002,0.0667,0.0002,0.0768,0.0001,8.08E-06,1.63E-05
Coenonympha,thyrsis,Coenonympha_thyrsis,Male,Patterned_Flapping,Patterned,Flapping,0.0403,0.0107,0.0406,0.0107,0.0338,0.0147,0.0098,0.005
Coenonympha,thyrsis,Coenonympha_thyrsis,Male,Averaged_Gliding,Averaged,Gliding,0.016,1.44E-05,0.016,1.45E-05,0.0407,2.98E-05,8.57E-07,9.87E-07
Coenonympha,thyrsis,Coenonympha_thyrsis,Male,Averaged_Flapping,Averaged,Flapping,0.0111,0.0034,0.0111,0.0034,0.0147,0.0083,0.0035,0.0022
Coenonympha,thyrsis,Coenonympha_thyrsis,Male,White_Gliding,White,Gliding,0.8944,0.0008,0.896,0.0008,2.2767,0.0017,4.79E-05,5.52E-05
Coenonympha,thyrsis,Coenonympha_thyrsis,Male,White_Flapping,White,Flapping,0.7398,0.1819,0.7411,0.1821,0.9653,0.4341,0.2051,0.1347
Coenonympha,tullia,Coenonympha_tullia,Female,Patterned_Gliding,Patterned,Gliding,0.0527,0.0003,0.0527,0.0003,0.0925,0.0005,2.11E-05,6.09E-06
Coenonympha,tullia,Coenonympha_tullia,Female,Patterned_Flapping,Patterned,Flapping,0.041,0.0168,0.0412,0.0168,0.0523,0.0305,0.0103,0.0043
Coenonympha,tullia,Coenonympha_tullia,Female,Averaged_Gliding,Averaged,Gliding,0.0123,1.18E-05,0.0123,1.19E-05,0.0348,3.07E-05,7.17E-07,9.88E-07
Coenonympha,tullia,Coenonympha_tullia,Female,Averaged_Flapping,Averaged,Flapping,0.0079,0.0027,0.0079,0.0027,0.0121,0.007,0.0027,0.0016
Coenonympha,tullia,Coenonympha_tullia,Female,White_Gliding,White,Gliding,0.9707,0.0009,0.973,0.0009,2.7506,0.0024,5.66E-05,7.81E-05
Coenonympha,tullia,Coenonympha_tullia,Female,White_Flapping,White,Flapping,0.7578,0.1921,0.7594,0.1922,1.1214,0.5194,0.2291,0.1491
Coenonympha,tullia,Coenonympha_tullia,Male,Patterned_Gliding,Patterned,Gliding,0.0564,0.0002,0.0567,0.0002,0.0884,0.0004,1.67E-05,5.39E-06
Coenonympha,tullia,Coenonympha_tullia,Male,Patterned_Flapping,Patterned,Flapping,0.0422,0.0167,0.0425,0.0168,0.0516,0.0311,0.0078,0.0048
Coenonympha,tullia,Coenonympha_tullia,Male,Averaged_Gliding,Averaged,Gliding,0.0075,7.13E-06,0.0075,7.16E-06,0.0199,1.81E-05,4.60E-07,5.02E-07
Coenonympha,tullia,Coenonympha_tullia,Male,Averaged_Flapping,Averaged,Flapping,0.0051,0.0017,0.0051,0.0017,0.0069,0.0041,0.0016,0.001
Coenonympha,tullia,Coenonympha_tullia,Male,White_Gliding,White,Gliding,0.9727,0.0009,0.9734,0.0009,2.5812,0.0024,5.98E-05,6.52E-05
Coenonympha,tullia,Coenonympha_tullia,Male,White_Flapping,White,Flapping,0.7851,0.2024,0.7867,0.2025,1.0506,0.4934,0.226,0.1473
Colias,alfacariensis,Colias_alfacariensis,Female,Patterned_Gliding,Patterned,Gliding,0.429,0.001,0.4296,0.001,0.7636,0.0009,4.18E-05,0.0001
Colias,alfacariensis,Colias_alfacariensis,Female,Patterned_Flapping,Patterned,Flapping,0.2846,0.0837,0.2854,0.0838,0.3098,0.1537,0.0665,0.0382
Colias,alfacariensis,Colias_alfacariensis,Female,Averaged_Gliding,Averaged,Gliding,0.1538,0.0002,0.1541,0.0002,0.42,0.0002,7.04E-06,1.04E-05
Colias,alfacariensis,Colias_alfacariensis,Female,Averaged_Flapping,Averaged,Flapping,0.1064,0.037,0.1066,0.0371,0.1589,0.0847,0.035,0.0245
Colias,alfacariensis,Colias_alfacariensis,Female,White_Gliding,White,Gliding,0.9327,0.0009,0.9347,0.0009,2.5467,0.0015,4.27E-05,6.32E-05
Colias,alfacariensis,Colias_alfacariensis,Female,White_Flapping,White,Flapping,0.7536,0.1878,0.7552,0.1878,1.065,0.4803,0.2224,0.1487
Colias,alfacariensis,Colias_alfacariensis,Male,Patterned_Gliding,Patterned,Gliding,0.3488,0.0006,0.3485,0.0006,0.6386,0.0003,1.32E-05,3.75E-05
Colias,alfacariensis,Colias_alfacariensis,Male,Patterned_Flapping,Patterned,Flapping,0.2533,0.0757,0.2537,0.076,0.2486,0.1223,0.0606,0.0374
Colias,alfacariensis,Colias_alfacariensis,Male,Averaged_Gliding,Averaged,Gliding,0.1471,0.0001,0.1475,0.0001,0.3796,0.0002,6.66E-06,1.10E-05
Colias,alfacariensis,Colias_alfacariensis,Male,Averaged_Flapping,Averaged,Flapping,0.099,0.0347,0.0992,0.0348,0.1421,0.0771,0.0322,0.0223
Colias,alfacariensis,Colias_alfacariensis,Male,White_Gliding,White,Gliding,0.9376,0.0009,0.94,0.0009,2.4188,0.0015,4.25E-05,6.99E-05
Colias,alfacariensis,Colias_alfacariensis,Male,White_Flapping,White,Flapping,0.751,0.1863,0.7524,0.1866,1.016,0.4584,0.2169,0.1435
Colias,aurorina,Colias_aurorina,Female,Patterned_Gliding,Patterned,Gliding,0.1156,0.0006,0.1157,0.0006,0.1363,0.0006,2.37E-05,1.98E-05
Colias,aurorina,Colias_aurorina,Female,Patterned_Flapping,Patterned,Flapping,0.0477,0.02,0.0478,0.02,0.0566,0.0324,0.0143,0.0057
Colias,aurorina,Colias_aurorina,Female,Averaged_Gliding,Averaged,Gliding,0.0068,7.09E-06,0.0069,7.12E-06,0.0193,1.47E-05,3.80E-07,5.18E-07
Colias,aurorina,Colias_aurorina,Female,Averaged_Flapping,Averaged,Flapping,0.0057,0.0012,0.0057,0.0012,0.0082,0.0033,0.0017,0.0011
Colias,aurorina,Colias_aurorina,Female,White_Gliding,White,Gliding,0.92,0.001,0.9217,0.001,2.5951,0.002,5.11E-05,6.96E-05
Colias,aurorina,Colias_aurorina,Female,White_Flapping,White,Flapping,0.7265,0.1805,0.728,0.1806,1.0772,0.4823,0.2272,0.1529
Colias,aurorina,Colias_aurorina,Male,Patterned_Gliding,Patterned,Gliding,0.0795,0.0004,0.0794,0.0004,0.1035,0.0004,1.08E-05,4.26E-06
Colias,aurorina,Colias_aurorina,Male,Patterned_Flapping,Patterned,Flapping,0.0372,0.0139,0.0374,0.014,0.0363,0.0184,0.0086,0.004
Colias,aurorina,Colias_aurorina,Male,Averaged_Gliding,Averaged,Gliding,0.0147,1.68E-05,0.0148,1.69E-05,0.037,2.94E-05,7.17E-07,8.64E-07
Colias,aurorina,Colias_aurorina,Male,Averaged_Flapping,Averaged,Flapping,0.012,0.0026,0.012,0.0026,0.0157,0.0063,0.0032,0.0022
Colias,aurorina,Colias_aurorina,Male,White_Gliding,White,Gliding,0.9786,0.0011,0.9801,0.0011,2.4581,0.002,4.77E-05,5.74E-05
Colias,aurorina,Colias_aurorina,Male,White_Flapping,White,Flapping,0.7403,0.1854,0.7417,0.1854,0.9989,0.4488,0.2071,0.1491
Colias,caucasica,Colias_caucasica,Female,Patterned_Gliding,Patterned,Gliding,0.1177,0.0007,0.1179,0.0007,0.1572,0.0007,2.73E-05,1.35E-05
Colias,caucasica,Colias_caucasica,Female,Patterned_Flapping,Patterned,Flapping,0.0588,0.0238,0.0589,0.0239,0.0702,0.0418,0.0143,0.0058
Colias,caucasica,Colias_caucasica,Female,Averaged_Gliding,Averaged,Gliding,0.005,5.79E-06,0.005,5.82E-06,0.0139,1.12E-05,2.63E-07,3.50E-07
Colias,caucasica,Colias_caucasica,Female,Averaged_Flapping,Averaged,Flapping,0.0044,0.0011,0.0044,0.0011,0.006,0.0023,0.0012,0.0007
Colias,caucasica,Colias_caucasica,Female,White_Gliding,White,Gliding,0.9579,0.0011,0.9602,0.0011,2.675,0.0022,5.06E-05,6.74E-05
Colias,caucasica,Colias_caucasica,Female,White_Flapping,White,Flapping,0.7265,0.1926,0.7283,0.1927,1.0772,0.4961,0.2223,0.1572
Colias,caucasica,Colias_caucasica,Male,Patterned_Gliding,Patterned,Gliding,0.1041,0.0007,0.1041,0.0007,0.1209,0.0006,2.06E-05,9.33E-06
Colias,caucasica,Colias_caucasica,Male,Patterned_Flapping,Patterned,Flapping,0.0473,0.0205,0.0475,0.0205,0.0486,0.0285,0.0107,0.0044
Colias,caucasica,Colias_caucasica,Male,Averaged_Gliding,Averaged,Gliding,0.005,5.07E-06,0.005,5.09E-06,0.013,9.18E-06,2.40E-07,3.63E-07
Colias,caucasica,Colias_caucasica,Male,Averaged_Flapping,Averaged,Flapping,0.0046,0.0011,0.0046,0.0011,0.0059,0.002,0.0012,0.0007
Colias,caucasica,Colias_caucasica,Male,White_Gliding,White,Gliding,0.9064,0.0009,0.9086,0.0009,2.3636,0.0017,4.35E-05,6.58E-05
Colias,caucasica,Colias_caucasica,Male,White_Flapping,White,Flapping,0.7018,0.1816,0.7035,0.1817,0.9763,0.4414,0.2049,0.1432
Colias,chrysotheme,Colias_chrysotheme,Female,Patterned_Gliding,Patterned,Gliding,0.0872,0.0005,0.0872,0.0005,0.1061,0.0006,2.56E-05,1.77E-05
Colias,chrysotheme,Colias_chrysotheme,Female,Patterned_Flapping,Patterned,Flapping,0.042,0.0167,0.0422,0.0168,0.048,0.0306,0.0087,0.0034
