genus,species,genusSpecies,sex,treatment,render_method,flight_method,left_mean,left_dev,right_mean,right_dev,up_mean,up_dev,down_mean,down_dev
Agriades,dardanus,Agriades_dardanus,Female,Averaged_Flapping,Averaged,Flapping,0.0225,0.006,0.0225,0.006,0.0333,0.0156,0.0072,0.005
Agriades,dardanus,Agriades_dardanus,Female,White_Gliding,White,Gliding,1.0238,0.001,1.0257,0.001,2.783,0.0025,6.10E-05,7.67E-05
Agriades,dardanus,Agriades_dardanus,Female,White_Flapping,White,Flapping,0.7746,0.1941,0.7759,0.1944,1.1433,0.5254,0.2362,0.1537
Agriades,dardanus,Agriades_dardanus,Male,Patterned_Gliding,Patterned,Gliding,0.2491,0.0003,0.2495,0.0003,0.4296,0.0003,2.04E-05,2.51E-05
Agriades,dardanus,Agriades_dardanus,Male,Patterned_Flapping,Patterned,Flapping,0.1519,0.0508,0.1523,0.0509,0.1713,0.0865,0.0395,0.0257
Agriades,dardanus,Agriades_dardanus,Male,Averaged_Gliding,Averaged,Gliding,0.1316,0.0001,0.1317,0.0001,0.3287,0.0003,6.26E-06,8.05E-06
Agriades,dardanus,Agriades_dardanus,Male,Averaged_Flapping,Averaged,Flapping,0.0878,0.0303,0.0879,0.0303,0.1217,0.0648,0.0258,0.0175
Agriades,dardanus,Agriades_dardanus,Male,White_Gliding,White,Gliding,1.0651,0.0011,1.0661,0.0011,2.6611,0.002,5.07E-05,6.52E-05
Agriades,dardanus,Agriades_dardanus,Male,White_Flapping,White,Flapping,0.8095,0.2124,0.811,0.2124,1.0759,0.5039,0.2211,0.1461
Agriades,glandon,Agriades_glandon,Female,Patterned_Gliding,Patterned,Gliding,0.1517,0.0006,0.1514,0.0006,0.2555,0.0007,3.03E-05,0.0001
Agriades,glandon,Agriades_glandon,Female,Patterned_Flapping,Patterned,Flapping,0.0764,0.0238,0.0764,0.0238,0.1013,0.0508,0.0241,0.012
Agriades,glandon,Agriades_glandon,Female,Averaged_Gliding,Averaged,Gliding,0.0323,3.29E-05,0.0323,3.30E-05,0.0792,6.63E-05,1.64E-06,2.39E-06
Agriades,glandon,Agriades_glandon,Female,Averaged_Flapping,Averaged,Flapping,0.0255,0.0059,0.0256,0.0059,0.0341,0.0145,0.0072,0.005
Agriades,glandon,Agriades_glandon,Female,White_Gliding,White,Gliding,1.0381,0.0011,1.0389,0.0011,2.5454,0.0021,5.27E-05,7.67E-05
Agriades,glandon,Agriades_glandon,Female,White_Flapping,White,Flapping,0.7714,0.1948,0.7725,0.195,1.0523,0.479,0.2179,0.1417
Agriades,glandon,Agriades_glandon,Male,Patterned_Gliding,Patterned,Gliding,0.2023,0.0008,0.2031,0.0008,0.2986,0.0006,2.26E-05,3.40E-05
Agriades,glandon,Agriades_glandon,Male,Patterned_Flapping,Patterned,Flapping,0.1036,0.034,0.1042,0.0341,0.1116,0.0578,0.023,0.0131
Agriades,glandon,Agriades_glandon,Male,Averaged_Gliding,Averaged,Gliding,0.0399,3.60E-05,0.04,3.60E-05,0.1007,7.25E-05,1.95E-06,2.67E-06
Agriades,glandon,Agriades_glandon,Male,Averaged_Flapping,Averaged,Flapping,0.026,0.0091,0.0261,0.0092,0.0368,0.0207,0.0084,0.0057
Agriades,glandon,Agriades_glandon,Male,White_Gliding,White,Gliding,0.9973,0.0009,0.9977,0.0009,2.514,0.0018,4.87E-05,6.67E-05
Agriades,glandon,Agriades_glandon,Male,White_Flapping,White,Flapping,0.7758,0.2004,0.7771,0.2004,1.0404,0.4811,0.2203,0.1427
Agriades,optilete,Agriades_optilete,Female,Patterned_Gliding,Patterned,Gliding,0.0768,0.0004,0.0765,0.0004,0.1124,0.0004,2.39E-05,6.93E-05
Agriades,optilete,Agriades_optilete,Female,Patterned_Flapping,Patterned,Flapping,0.0363,0.0127,0.0364,0.0127,0.0479,0.0249,0.0094,0.0043
