"feature","IncNodePurity","mean_shap","sd_shap","SHAP"
"hw.pat.L.mean",3.79517157027983,0.00808306646822224,0.0641469468284266,"0.008 ± 0.064"
"fw.pat.L.mean",2.53950592301837,0.00523059384555556,0.0396113114976034,"0.005 ± 0.04"
"fw.pat.E.mean",0.441805285089351,0.00258230400977778,0.00988127203489591,"0.003 ± 0.01"
"fw.pat.L.stdev",0.208369915597669,0.002151622458,0.00788253048574792,"0.002 ± 0.008"
"hw.pat.L.stdev",0.0936341801568084,0.00185304504133334,0.00508282790675392,"0.002 ± 0.005"
"hw.pat.E.mean",0.0857565781247131,0.00113243477266666,0.00471607438491524,"0.001 ± 0.005"
"PCo3",0.532072278857966,0.00101100675000002,0.00571979405106321,"0.001 ± 0.006"
"fw.pat.L.x",0.629429955629326,0.000654113397333336,0.00706454030073686,"0.001 ± 0.007"
"hw.pat.P.x",0.074496169335922,-0.0000421054144444455,0.00145158106109392,"0 ± 0.001"
