"Population","Generation","ID","Wing","L_mean","L_stdev","L_x","L_y","P_mean","P_stdev","P_x","P_y","E_mean","E_stdev","E_x","E_y","VH_mean","VH_stdev","VH_x","VH_y","OA_mean","OA_stdev","OA_x","OA_y","DR_mean","DR_stdev","DR_x","DR_y"
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID7","hindwing",189.1321,43.8092,0.048,0,0.2453,0.0498,4.609e-05,2.758e-17,0.9649,0.2672,0.0041,2.758e-17,0.1524,0.256,-0.0037,1.207e-17,0.1621,0.2309,0.0024,3.448e-18,-0.0315,0.1618,-0.0017,3.017e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID8","forewing",141.1935,30.6371,0.0784,-6.256e-15,0.2595,0.0431,-3e-04,2.108e-18,0.4918,0.1385,6e-04,2.53e-17,-0.0452,0.1608,-7e-04,3.162e-18,-0.0157,0.0866,7e-04,3.623e-19,-0.0301,0.0803,-1.219e-05,-8.432e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID8","hindwing",146.8231,34.8857,0.0629,-1.682e-15,0.2424,0.0307,-1e-04,-1.379e-17,0.6617,0.1994,0.003,-1.034e-17,-0.2138,0.1663,-0.0018,5.171e-18,-0.0031,0.1112,0.0014,4.309e-19,-0.012,0.0941,-1e-04,-1.724e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID9","forewing",51.5275,23.9164,-0.024,3.128e-15,0.2726,0.0394,1e-04,4.005e-17,0.3733,0.101,-6e-04,-3.583e-17,5e-04,0.0838,-6e-04,1.107e-17,-0.1012,0.0875,7e-04,-4.94e-19,-0.0069,0.0545,-2e-04,1.186e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID9","hindwing",82.6001,33.8397,0.0568,-7.569e-15,0.2468,0.0429,2e-04,-1.379e-17,0.6418,0.1972,-0.0032,4.309e-17,0.0917,0.1499,1.919e-06,-1.207e-17,-0.153,0.1442,8e-04,1.034e-17,-0.0154,0.1009,7e-04,4.309e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID10","forewing",76.0682,15.682,-0.082,-7.82e-15,0.2717,0.0497,-8.413e-05,-2.108e-17,0.2323,0.0869,6e-04,2.635e-17,-0.0327,0.0996,0.001,-1.186e-18,0.0073,0.039,-2e-04,-4.084e-18,-0.0022,0.0473,-3e-04,-1.054e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID10","hindwing",131.6073,23.8017,0.0281,9.251e-15,0.253,0.0484,-5e-04,-5.171e-18,0.4909,0.1295,0.0024,-1.379e-17,-0.0513,0.1376,7e-04,-6.895e-18,-0.0086,0.0939,3e-04,0,-0.0433,0.0803,-5e-04,1.293e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID11","forewing",57.3682,16.4231,-0.0738,-3.649e-15,0.2997,0.0447,1e-04,8.432e-18,0.2352,0.0757,4e-04,-1.159e-17,-0.0059,0.0608,3e-04,-7.905e-19,0.0217,0.0513,-8.792e-05,-2.059e-21,-0.0236,0.0323,2.532e-05,4.611e-19
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID11","hindwing",60.4588,13.9008,0.026,1.093e-14,0.2813,0.0424,-3e-04,-2.586e-17,0.2432,0.073,0.0013,0,-0.0293,0.0494,-5e-04,7.326e-18,-0.0042,0.0589,-4e-04,9.696e-19,-0.0246,0.029,-3e-04,2.424e-19
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID12","forewing",111.6529,20.4078,0.1026,7.299e-15,0.258,0.0361,4.81e-05,1.265e-17,0.3298,0.1428,-0.002,1.265e-17,-0.0017,0.0774,-5e-04,4.743e-18,0.0037,0.0619,6e-04,5.27e-18,-0.0464,0.0526,5e-04,-9.881e-20
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID12","hindwing",85.4295,22.8434,0.0077,7.989e-15,0.2337,0.0275,-1e-04,1.034e-17,0.4357,0.1273,3e-04,0,-0.0236,0.1522,-3e-04,-2.586e-17,0.054,0.0919,1.7e-05,-3.232e-18,-0.0144,0.0733,-3e-04,3.878e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID13","forewing",103.5106,14.0851,0.0714,9.905e-15,0.2457,0.0385,5.268e-06,-5.27e-18,0.2048,0.1685,0.002,5.481e-17,-0.0019,0.0508,2e-04,-6.06e-18,0.0255,0.0518,3e-04,1.581e-18,-0.0257,0.0377,-3e-04,-3.689e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID13","hindwing",132.5642,25.6487,-0.0241,9.251e-15,0.295,0.055,-4e-04,-2.241e-17,0.4618,0.1311,0.0023,8.619e-18,-0.014,0.1201,-1e-04,2.413e-17,0.0451,0.0745,5e-04,-1.077e-19,-0.0577,0.0677,-4e-04,2.37e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID14","forewing",46.0256,16.2734,-0.0141,7.299e-15,0.2484,0.0495,2.995e-05,2.53e-17,0.2696,0.0813,-2e-04,1.054e-17,0.045,0.0898,5e-04,2.24e-18,0.0057,0.0537,-3.829e-06,2.042e-18,-0.0129,0.0495,2e-04,4.743e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID14","hindwing",56.8364,24.4507,0.1224,-7.989e-15,0.2352,0.0395,-3e-04,4.137e-17,0.493,0.1512,0.0026,3.275e-17,0.1447,0.1274,7e-04,-1.939e-18,0.1436,0.1011,0.0011,3.017e-18,0.0382,0.0778,5.907e-05,5.602e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID15","forewing",45.2707,26.7821,-0.0432,8.341e-15,0.267,0.0447,-7.225e-05,-2.108e-17,0.4173,0.0971,9.916e-05,-1.897e-17,0.1601,0.1268,9e-04,2.108e-18,-0.029,0.08,6e-04,-1.186e-18,0.0321,0.0789,5e-04,-2.898e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID15","hindwing",50.1189,9.0741,-0.0223,-7.569e-15,0.2451,0.0511,-2e-04,3.275e-17,0.1781,0.0844,0.002,1.81e-17,-0.0271,0.0452,-3e-04,1.034e-17,0.0068,0.0409,3e-04,9.696e-19,-0.0129,0.0268,-4e-04,6.464e-19
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID16","forewing",86.6957,55.142,-0.2673,-6.777e-15,0.2265,0.0268,-7.942e-05,3.583e-17,0.8688,0.2838,-0.0025,-2.74e-17,0.1645,0.2631,0.002,5.27e-19,-0.1941,0.1918,-4e-04,-3.952e-19,0.0277,0.1824,0.0017,4.743e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID16","hindwing",40.7226,22.4275,-0.1106,7.148e-15,0.2579,0.0493,2e-04,-1.724e-18,0.4226,0.1216,7e-04,2.069e-17,-0.0018,0.1058,0.0011,3.878e-18,-0.0512,0.0882,3e-04,-4.956e-18,-0.0343,0.0518,7.097e-05,2.586e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID17","forewing",176.5126,43.4776,0.1814,-6.256e-15,0.2405,0.0386,-2.082e-05,-3.162e-18,0.8326,0.178,0.001,-1.054e-17,-0.012,0.2228,0.001,-1.107e-17,-0.025,0.1795,-6e-04,-1.37e-17,-0.0783,0.1227,5e-04,2.371e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID17","hindwing",149.3854,23.5794,-0.0668,4.205e-15,0.2723,0.0466,-6.689e-05,-1.379e-17,0.4635,0.1502,8e-04,3.792e-17,0.0833,0.1109,-1e-04,1.896e-17,0.0233,0.0707,5e-04,1.724e-18,-0.0482,0.0764,-2e-04,5.171e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID18","forewing",65.3258,7.8659,-0.0924,-1.043e-14,0.2766,0.0526,2e-04,2.951e-17,0.1211,0.0311,6.965e-05,2.108e-18,0.0333,0.0329,3e-04,-5.27e-19,-0.0173,0.0242,-1e-04,-1.054e-18,3e-04,0.0211,2e-04,-1.276e-19
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID18","hindwing",59.1384,11.961,-0.0619,-1.135e-14,0.2341,0.0543,4e-04,2.586e-18,0.2335,0.0696,5e-04,1.81e-17,-0.0128,0.0559,-4.147e-05,-3.448e-18,-0.0493,0.0407,2e-04,1.939e-18,-0.0146,0.0379,-7.293e-05,-2.155e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID19","forewing",136.7063,30.0278,0.1464,-9.905e-15,0.2862,0.0524,1e-04,1.054e-17,0.5143,0.1707,0.0023,-2.951e-17,-0.0658,0.1093,2e-04,0,0.0333,0.0904,-3.073e-05,-4.743e-18,-0.0631,0.0849,-7e-04,-7.905e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID19","hindwing",138.0396,35.9111,-0.1815,0,0.2618,0.045,-1.395e-05,-3.275e-17,0.7252,0.1496,0.0017,4.999e-17,0.1202,0.1849,-0.0024,-1.724e-18,0.0173,0.1497,-0.001,-6.033e-18,-0.0542,0.1175,-0.0012,6.464e-18
