frame,x,y,heading_deg
1,-0.7337314799995518,-0.683898309245436,51.6409424296933
5,-0.728499186760139,-0.6762132779030576,52.451029626246275
9,-0.7233457936960455,-0.66846422800341,53.22358064906231
13,-0.7182686973820573,-0.6606572820661908,53.95526901111757
17,-0.7132648837769854,-0.6527987017996351,54.64288289158001
21,-0.7083309392063974,-0.6448948573126636,55.28335137131209
25,-0.7034630657294483,-0.6369521989319088,55.87376987400038
29,-0.6986571007490344,-0.6289772321440872,56.4114245940206
33,-0.693908540667595,-0.6209764960484718,56.89381570008578
37,-0.6892125683403553,-0.6129565455552478,57.31867911347507
41,-0.6845640840340748,-0.6049239374085469,57.684006671117544
45,-0.6799577395623113,-0.5968852199534128,57.98806449691389
49,-0.6753879752375308,-0.5888469264094914,58.22940941930653
53,-0.6708490592553383,-0.5808155712663341,58.40690328913325
57,-0.6663351291059045,-0.5727976492811279,58.519725069084224
61,-0.6618402345913427,-0.5647996364441388,58.567380584479956
65,-0.6573583820145198,-0.5568279921843987,58.54970984444381
69,-0.6528835790938043,-0.5488891620216204,58.46689186269146
73,-0.6484098801490552,-0.5409895798325745,58.31944692793002
77,-0.6439314310965542,-0.5331356688929552,58.10823629507561
81,-0.6394425137846811,-0.5253338408797746,57.8344592899785
85,-0.6349375891984232,-0.5175904920742799,57.49964784190811
89,-0.6304113390600784,-0.5099119960899468,57.105658479511035
93,-0.625858705356836,-0.5023046925619008,56.65466184713349
97,-0.6212749273345283,-0.49477487136981746,56.149129819111764
101,-0.6166555755120589,-0.4873287521217098,55.591820309708204
105,-0.6119965822941065,-0.47997245879596045,54.985759895630665
109,-0.6072942687917421,-0.4727119896178169,54.33422438635976
113,-0.60254536750238,-0.46555318242815236,53.640717494663335
117,-0.5977470405523514,-0.45850167598020475,52.90894777555523
121,-0.592896893267205,-0.4515628677678069,52.142804016420925
125,-0.587992982905877,-0.4447418691401577,51.34632927396351
129,-0.5830338224738497,-0.43804345858782245,50.52369376490694
133,-0.578018379615449,-0.4314720341875311,49.67916682693838
137,-0.5729460706741798,-0.42503156626562766,48.81708817409048
141,-0.567816750099688,-0.41872555137906686,47.94183867659747
145,-0.5626306954675726,-0.41255696871734204,47.05781089915298
149,-0.5573885884606993,-0.40652823999873794,46.16937963342081
153,-0.5520914922348744,-0.40064119387129776,45.28087266058591
157,-0.5467408256548772,-0.39489703573563595,44.396541977682844
161,-0.5413383349365314,-0.38929632378711515,43.52053571741928
165,-0.5358860632648456,-0.3838389519337755,42.65687098525923
169,-0.5303863189760428,-0.3785241400892425,41.809407829693335
173,-0.5248416428920131,-0.3733504321725205,40.98182455196987
177,-0.5192547753796021,-0.3683157019750479,40.17759455017361
181,-0.5136286236751265,-0.363417166885369,39.39996487951412
185,-0.5079662299681962,-0.3586514092985449,38.65193669613652
189,-0.5022707406805035,-0.3540144053855413,37.936247735815634
193,-0.49654537730732784,-0.34950156076104977,37.25535696167856
197,-0.4907934091150336,-0.3451077524693237,36.6114314967654
201,-0.4850181279098884,-0.340827376608488,36.00633593794107
205,-0.47922282501519725,-0.33665440083532583,35.44162412757701
209,-0.47341077051798847,-0.33258242093482554,34.91853343870098
213,-0.4675851947760012,-0.32860472060112367,34.437981608143176
217,-0.4617492721128426,-0.3247143335576577,34.00056613076826
221,-0.45590610657581015,-0.3209041071426998,33.60656620635784
225,-0.45005871958838034,-0.31716676650005005,33.255947209279434
229,-0.44421003929864145,-0.3134949785415181,32.948367629930125
233,-0.43836289140631146,-0.30988141488589627,32.68318841625388
237,-0.43251999124426066,-0.3063188130265454,32.459484623578874
241,-0.42668393689501244,-0.30280003503475345,32.27605926177446
245,-0.42085720313744174,-0.2993181231671894,32.13145921045109
249,-0.4150421360424243,-0.29586635181176196,32.02399305577561
253,-0.40924094806681416,-0.29243827527590094,31.951750686594224
257,-0.4034557135309558,-0.2890277709937524,31.91262447308205
261,-0.39768836440398625,-0.28562907780315,31.904331838192547
265,-0.391940686361441,-0.2822368290186842,31.924439020873223
269,-0.3862143151191908,-0.2788460801029111,31.970385820441177
273,-0.3805107330846855,-0.27545233081286963,32.03951110375316
277,-0.3748312663992654,-0.272051541772679,32.12907885092644
281,-0.3691770824725291,-0.2686401454940994,32.23630451141628
285,-0.36354918813038906,-0.2652150519345154,32.35838144026788
289,-0.35794842851174324,-0.26177364874481174,32.49250718434864
293,-0.3523754868542531,-0.25831379641704516,32.6359093903315
297,-0.34683088530748934,-0.25483381859275805,32.78587111012233
301,-0.34131498690195644,-0.2513324878364577,32.93975528526984
305,-0.33582799878578634,-0.24780900721464075,33.09502819961391
309,-0.3303699768180437,-0.24426298804845162,33.249281698949666
313,-0.3249408315796211,-0.2406944242275936,33.400253987728114
317,-0.3195403358308288,-0.23710366348473583,33.54584882568186
321,-0.3141681334102935,-0.23349137603392078,33.684152961644855
325,-0.3088237495340049,-0.22985852097421916,33.81345165760397
329,-0.3035066024176411,-0.22620631085214796,33.932242173041914
333,-0.2982160161109306,-0.2225361747643943,34.039245097757544
337,-0.2929512344009609,-0.21884972036749648,34.13341344042606
341,-0.2877114356130695,-0.21514869514466584,34.21393940002205
345,-0.2824957481141436,-0.21143494726318074,34.28025876770284
349,-0.2773032663045048,-0.20771038633989347,34.33205292766171
353,-0.2721330668715931,-0.20397694441831624,34.36924844662853
357,-0.2669842250716726,-0.20023653744918438,34.39201426294005
361,-0.2618558308048804,-0.19649102755773407,34.40075650723734
365,-0.2567470042540215,-0.19274218637526838,34.39611100769405
369,-0.25165691086827896,-0.18899165970969609,34.37893355305596
373,-0.24658477548900343,-0.18524093382909737,34.350288006504044
377,-0.24152989543532222,-0.1814913036332427,34.31143238227126
381,-0.2364916523916936,-0.17774384298939686,34.26380301488319
385,-0.23145977816461538,-0.17402497760919083,33.87236504349487
389,-0.22641210077862245,-0.17039350838779083,33.28205215049018
393,-0.221346744844839,-0.16685604562036013,32.665536391662606
397,-0.2162628475942067,-0.1634168110403686,32.02667877124553
401,-0.21115985117587194,-0.16007943426860965,31.36946905990477
405,-0.2060374952161268,-0.15684691501860243,30.697997963395743
409,-0.20089580573284477,-0.1537215888446806,30.016428586515065
413,-0.1957350807582968,-0.15070509716228556,29.328967422385194
417,-0.1905558730891389,-0.14779836222312676,28.63983510087381
421,-0.18535897063680826,-0.14500156765837208,27.953237131740657
425,-0.1801453748926088,-0.14231414511367285,27.27333487790786
429,-0.17491627804792018,-0.1397347673942105,26.60421699206865
433,-0.16967303932027503,-0.13726134842025597,25.949871545701843
437,-0.16441716103016987,-0.13489105016849273,25.314159073480983
441,-0.15915026495167614,-0.13262029664619107,24.7007867481128
445,-0.15387406942309023,-0.13044479481870563,24.113283890872932
449,-0.14859036765347486,-0.12835956228978007,23.554979011616535
453,-0.14330100759896816,-0.1263589614222956,23.028978558922407
457,-0.13800787371156462,-0.12443673948718745,22.53814754639566
461,-0.1327128707853892,-0.12258607434226242,22.085092205129737
465,-0.12741791004416386,-0.12079962507174642,21.672144795052308
469,-0.12212489753153098,-0.11906958696192178,21.301350689497124
473,-0.11683572478601262,-0.11738775014781823,20.974457828014025
477,-0.11155226170733126,-0.11574556123961906,20.69290861231593
481,-0.10627635145301804,-0.11413418722381187,20.45783429953735
485,-0.10100980714574857,-0.11254458093143235,20.270051925820308
489,-0.09575441012433586,-0.11096754737218684,20.130063771831242
493,-0.09051190943597973,-0.10939381024699486,20.038059360329374
497,-0.08528402224496383,-0.1078140779709442,19.99391995453632
501,-0.08007243482376783,-0.10621910856245606,19.997225504980896
505,-0.07487880379633104,-0.10459977278161868,20.047263971890935
509,-0.0697047573193291,-0.10294711493055099,20.14304293025325
513,-0.06455189591478236,-0.1012524107610554,20.283303345530687
517,-0.059421792704718736,-0.09950722196978623,20.466535389876864
521,-0.05431599284429127,-0.09770344679903023,20.690996151678156
525,-0.049236012001793075,-0.09583336630245039,20.95472907552341
529,-0.04418333379034519,-0.09388968588031953,21.25558495538892
533,-0.039159406114494026,-0.09186557173834375,21.591244291050096
537,-0.0341656364533618,-0.08975468197845941,21.959240806601766
541,-0.0292033861582238,-0.08755119208905615,22.35698592057855
545,-0.024273963894451536,-0.08524981466569032,22.78179394959626
549,-0.01937861840387051,-0.08284581326093751,23.23090782174746
553,-0.014518530802213221,-0.08033501033266245,23.7015250722273
557,-0.009694806656290697,-0.07771378933243177,24.19082389186995
561,-0.004908468105905386,-0.0749790910485622,24.695988999456514
565,-0.00016044630590856396,-0.0721284043897126,25.214237110808774
569,0.0045484255359216665,-0.06915975186323836,25.7428417817898
573,0.009217418259049344,-0.06607167006599683,26.279157408357094
577,0.013845911740978076,-0.06286318556231653,26.820642174702176
581,0.018433398558181,-0.05953378657303932,27.364879750195094
585,0.022979486130572973,-0.05608339093983719,27.909599547248252
589,0.027483897202394903,-0.05251231085968678,28.452695365222617
