frame,x,y,heading_deg
1,-0.8302266040543583,-0.5185471555808985,-34.08951480301703
5,-0.8258568746508308,-0.526906762486214,-33.82666674301642
9,-0.821486315318021,-0.5352028039781153,-33.45138920685548
13,-0.8171086537556582,-0.5434174273050644,-32.96409533268535
17,-0.812717880410068,-0.5515326298951966,-32.36564859836779
21,-0.8083083300811302,-0.5595302745909819,-31.65736074169573
25,-0.8038747611290935,-0.5673921134688561,-30.84098769869686
29,-0.7994124312151396,-0.5750998218088055,-29.91872357789579
33,-0.7949171684597738,-0.5826350434892018,-28.893192697421856
37,-0.7903854368629553,-0.5899794487324431,-27.767439720724628
41,-0.7858143948056733,-0.5971148047249539,-26.544917935357258
45,-0.7812019454508601,-0.6040230591909154,-25.229475727767426
49,-0.7765467778882824,-0.6106864365252128,-23.825341315259333
53,-0.771848397928775,-0.6170875456021051,-22.337105804218414
57,-0.7671071475521093,-0.6232094978885712,-20.769704651287576
61,-0.7623242121525048,-0.6290360340230648,-19.12839761141527
65,-0.7575016149069098,-0.6345516565901792,-17.41874726352763
69,-0.752642197812092,-0.639741766448114,-15.646596210979197
73,-0.7477495891932792,-0.6445927996665327,-13.818043059879011
77,-0.7428281577732614,-0.6490923619231602,-11.939417283846646
81,-0.7378829536979516,-0.6532293571011962,-10.017253088698268
85,-0.7329196372320688,-0.6569941068353857,-8.058262394977081
89,-0.7279443961550595,-0.6603784578769808,-6.069307060104568
93,-0.7229638531901225,-0.6633758743863224,-4.057370465221007
97,-0.7179849650755912,-0.6659815126105317,-2.0295285944954617
101,-0.7130149151260025,-0.6681922758516797,0.00707926320193872
105,-0.7080610013192715,-0.6700068481617648,2.0452800588577333
109,-0.7031305220778709,-0.671425705794595,4.077896641793593
113,-0.6982306619796878,-0.6724511060777243,6.097777399465055
117,-0.6933683796351212,-0.6730870540143831,8.0978257462988
121,-0.6885502999009613,-0.6733392475595982,10.071029330219728
125,-0.6837826124717433,-0.673215003110822,12.010488827049292
129,-0.6790709787016531,-0.6727231632878223,13.909446195087414
133,-0.6744204482732252,-0.6718739895289693,15.76131226490179
137,-0.6698353870536627,-0.6706790423852236,17.559693542631077
141,-0.6653194171775597,-0.6691510526378286,19.2984181089455
145,-0.6608753700787535,-0.6673037864949247,20.971560500177173
149,-0.6565052528765356,-0.6651519081353635,22.57346546301898
153,-0.6522102282142945,-0.6627108427692752,24.09877047956101
157,-0.6479906073623011,-0.6599966431833523,25.542426965271332
161,-0.6438458561393888,-0.6570258624470053,26.899720048798056
165,-0.6397746129871899,-0.6538154350891117,28.166286849145568
169,-0.6357747183494427,-0.6503825686314599,29.33813317282653
173,-0.6318432543694743,-0.6467446469026165,30.411648560978737
177,-0.6279765938207402,-0.642919146073226,31.38361962412824
181,-0.6241704571258267,-0.6389235638684309,32.25124161023993
185,-0.6204199762944396,-0.6347753619413906,33.01212815988617
189,-0.6167197646152449,-0.6304919209482558,33.664319210746086
193,-0.6130639909638594,-0.6260905074616036,34.206287022181264
197,-0.6094464576332985,-0.6215882515061831,34.636940299279274
201,-0.6058606806474109,-0.6170021332054383,34.955626404474785
205,-0.6022999715763457,-0.6123489767949738,35.162131653605734
209,-0.5987575199308136,-0.6076454500932056,35.256679702002174
213,-0.5952264752648058,-0.6029080674212622,35.23992803489393
217,-0.5917000281617161,-0.598153193933521,35.11296258502277
221,-0.5881714893150238,-0.5933970493552662,34.87729050881333
225,-0.5846343659416938,-0.5886557092218032,34.53483116075751
229,-0.5810824347853741,-0.5839451018697446,34.08790531376067
233,-0.5775098109795627,-0.5792809996407935,33.53922268104642
237,-0.5739110120513325,-0.5746790030147854,32.89186780278764
241,-0.5702810163577565,-0.5701545166846183,32.14928436788585
245,-0.5666153152640557,-0.5657227169125932,31.31525804823053
249,-0.5629099583989178,-0.5613985098562484,30.39389792930034
253,-0.5591615913623695,-0.5571964809118545,29.38961662709129
257,-0.555367485318421,-0.5531308354844974,28.307109187046308
261,-0.5515255579809589,-0.5492153319438551,27.1513308658893
265,-0.5476343855985025,-0.5454632078530123,25.927473902012686
269,-0.5436932056616257,-0.5418871008528422,24.64094338431118
273,-0.5397019101949554,-0.5384989658362205,23.29733233307432
277,-0.5356610296511248,-0.5353099902453672,21.90239610973476
281,-0.5315717075931036,-0.5323305094643271,20.462026274901895
285,-0.5274356665289768,-0.5295699243514135,18.98222401618153
289,-0.5232551654436838,-0.5270366229601832,17.469073268784076
293,-0.5190329497490027,-0.524737908431681,15.92871365285166
297,-0.5147721945395228,-0.5226799349075802,14.367313351783528
301,-0.51047644219191,-0.5208676531185054,12.791042055612872
305,-0.5061495354714071,-0.5193047670519391,11.206044092684303
309,-0.5017955474079787,-0.5179937028096336,9.618411871512802
313,-0.49741870927074017,-0.5169355904371613,8.034159752770194
317,-0.49302333800055803,-0.5161302591611907,6.459198468864536
321,-0.48861376445575394,-0.5155762461169431,4.899310205557819
325,-0.4841942637849877,-0.5152708183027039,3.3601244565259134
329,-0.479768989166466,-0.5152100071731496,1.8470947577199253
333,-0.47534191004679394,-0.5153886549902298,0.3654764038615207
337,-0.4709167558804225,-0.5158004717991924,-1.0796947555848249
341,-0.4664969662169767,-0.5164381016956056,-2.48362234904248
