frame,x,y,heading_deg
1,-0.7368687446188751,-0.6752177041894641,39.35746898549783
5,-0.7304156609603736,-0.6677591102071543,38.63689394963727
9,-0.7239082148398491,-0.6604513328545287,37.869321480769955
13,-0.7173443957255375,-0.6533028960163695,37.05601062134717
17,-0.7107224658796948,-0.6463223055099446,36.19843322550192
21,-0.7040409798178336,-0.6395180091706374,35.29827215677453
25,-0.6972988012783312,-0.6328983532299083,34.35741858138191
29,-0.690495117378859,-0.6264715351614217,33.37796835408776
33,-0.6836294496568922,-0.6202455532667034,32.36221749758896
37,-0.6767016617202546,-0.6142281533675669,31.312656780247693
41,-0.6697119632704701,-0.6084267730659842,30.231965400954735
45,-0.6626609103065877,-0.6028484841201149,29.123003793885555
49,-0.6555494013697937,-0.5974999335648867,27.98880556989328
53,-0.6483786697489038,-0.5923872842739684,26.832568615251454
57,-0.6411502716328222,-0.5875161557144488,25.657645372395425
61,-0.6338660702670194,-0.5828915656836997,24.467532331198438
65,-0.6265282162455356,-0.5785178738377538,23.265858763135796
69,-0.619139124146215,-0.5743987278207066,22.05637473442091
73,-0.6117014457928913,-0.5705370127843334,20.842938437822472
77,-0.6042180405020587,-0.5669348050462611,19.62950288637301
81,-0.5966919427410665,-0.5635933305742885,18.420102015539275
85,-0.5891263276880501,-0.5605129289052645,17.2188362436266
89,-0.5815244752387092,-0.5576930230114493,16.029857543215048
93,-0.5738897330499608,-0.5551320955183461,14.857354079259428
97,-0.5662254792439618,-0.5528276715590169,13.705534472112392
101,-0.5585350854169092,-0.5507763084247554,12.57861174613442
105,-0.5508218806046381,-0.5489735920448681,11.480787026723561
109,-0.543089116851031,-0.5474141402035508,10.416233050517068
113,-0.5353399370057017,-0.5460916122837222,9.389077555176373
117,-0.5275773453448295,-0.5449987252202778,8.403386616552517
121,-0.5198041815642512,-0.5441272752522625,7.463148002134288
125,-0.5120230986381636,-0.543468164988064,6.572254610495271
129,-0.5042365449714913,-0.5430114352424115,5.734488066971527
133,-0.49644675120078274,-0.5427463010703979,4.9535025460141515
137,-0.48865572191913514,-0.5426611914128163,4.232808890563777
141,-0.4808652325169122,-0.5427437917787364,3.5757590983848133
145,-0.47307683124361044,-0.5429810894245752,2.9855312445744038
149,-0.46529184650878064,-0.5433594205421098,2.4651149084228416
153,-0.4575113993528651,-0.5438645190384246,2.0172971714508
157,-0.4497364209334187,-0.5444815665753945,1.6446492517857225
161,-0.441967674789487,-0.5451952436311642,1.349513838069801
165,-0.4342057835677267,-0.5459897814468981,1.1339931838193988
169,-0.4264512598188152,-0.5468490148242743,0.9999380205887639
173,-0.41870454040225846,-0.547756435838042,0.948937345436712
177,-0.41096602397224047,-0.5486952486187386,0.9823091350636027
181,-0.4032361109569612,-0.5496484254387989,1.1010920355886509
185,-0.39551524538929966,-0.550598764396556,1.3060380732874524
189,-0.387803957897995,-0.5515289490332422,1.5976064277184434
193,-0.3801029091263852,-0.5524216102348735,1.9759583045525912
197,-0.3724129328107342,-0.5532593907614173,2.4409529410969695
201,-0.36473507772320546,-0.5540250127083223,2.9921447729885093
205,-0.357070647666672,-0.5547013481397046,3.628781785847259
209,-0.34942123870102937,-0.5552714930387059,4.349805070838625
